EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AX
1839561.000,33086,1,AX,1,100,0.852
1839601.000,33101,2,AX,1,100,0.851
1839641.000,33101,2,AX,1,100,0.851
1839681.000,33118,3,AX,1,100,0.855
1839721.000,33118,3,AX,1,100,0.832
1839761.000,33118,3,AX,1,100,0.849
1839801.000,33136,3,AX,1,100,0.843
1839841.000,33136,3,AX,1,100,0.851
1839881.000,33136,3,AX,1,100,0.842
1839921.000,33154,2,AX,1,100,0.845
1839961.000,33154,2,AX,1,100,0.846
1840001.000,33168,3,AX,1,100,0.848
1840041.000,33168,3,AX,1,100,0.858
1840081.000,33168,3,AX,1,100,0.836
1840121.000,33185,2,AX,1,100,0.851
1840161.000,33185,2,AX,1,100,0.842
1840201.000,33201,3,AX,1,100,0.843
1840241.000,33201,3,AX,1,100,0.858
1840281.000,33201,3,AX,1,100,0.845
1840321.000,33219,2,AX,1,100,0.828
1840361.000,33219,2,AX,1,100,0.868
1840401.000,33233,3,AX,1,100,0.840
1840441.000,33233,3,AX,1,100,0.853
1840481.000,33233,3,AX,1,100,0.834
1840521.000,33250,2,AX,1,100,0.854
1840561.000,33250,2,AX,1,100,0.850
1840601.000,33267,3,AX,1,100,0.848
1840641.000,33267,3,AX,1,100,0.857
1840681.000,33267,3,AX,1,100,0.843
1840721.000,33284,2,AX,1,100,0.835
1840761.000,33284,2,AX,1,100,0.859
1840801.000,33298,3,AX,1,100,0.845
1840841.000,33298,3,AX,1,100,0.850
1840881.000,33298,3,AX,1,100,0.844
1840921.000,33316,2,AX,1,100,0.844
1840961.000,33316,2,AX,1,100,0.862
1841001.000,33334,3,AX,1,100,0.848
1841041.000,33334,3,AX,1,100,0.837
1841081.000,33334,3,AX,1,100,0.858
1841121.000,33351,3,AX,1,100,0.852
1841161.000,33351,3,AX,1,100,0.856
1841201.000,33351,3,AX,1,100,0.851
1841241.000,33368,2,AX,1,100,0.835
1841281.000,33368,2,AX,1,100,0.863
1841321.000,33385,3,AX,1,100,0.853
1841361.000,33385,3,AX,1,100,0.843
1841401.000,33385,3,AX,1,100,0.845
1841441.000,33401,2,AX,1,100,0.849
1841481.000,33401,2,AX,1,100,0.844
1841521.000,33424,5,AX,1,100,0.845
1841561.000,33424,5,AX,1,100,0.860
1841601.000,33424,5,AX,1,100,0.844
1841641.000,33424,5,AX,1,100,0.847
1841681.000,33424,5,AX,1,100,0.856
1841721.000,33440,2,AX,1,100,0.854
1841761.000,33440,2,AX,1,100,0.843
1841801.000,33457,3,AX,1,100,0.850
1841841.000,33457,3,AX,1,100,0.843
1841881.000,33457,3,AX,1,100,0.852
1841921.000,33474,2,AX,1,100,0.862
1841961.000,33474,2,AX,1,100,0.851
1842001.000,33489,3,AX,1,100,0.839
1842041.000,33489,3,AX,1,100,0.849
1842081.000,33489,3,AX,1,100,0.853
1842121.000,33505,2,AX,1,100,0.849
1842161.000,33505,2,AX,1,100,0.852
1842201.000,33522,3,AX,1,100,0.846
1842241.000,33522,3,AX,1,100,0.840
1842281.000,33522,3,AX,1,100,0.859
1842321.000,33539,2,AX,1,100,0.856
1842361.000,33539,2,AX,1,100,0.848
1842401.000,33554,3,AX,1,100,0.837
1842441.000,33554,3,AX,1,100,0.857
1842481.000,33554,3,AX,1,100,0.849
1842521.000,33572,2,AX,1,100,0.845
1842561.000,33572,2,AX,1,100,0.846
1842601.000,33590,3,AX,1,100,0.837
1842641.000,33590,3,AX,1,100,0.846
1842681.000,33590,3,AX,1,100,0.857
1842721.000,33606,3,AX,1,100,0.856
1842761.000,33606,3,AX,1,100,0.843
1842801.000,33606,3,AX,1,100,0.842
1842841.000,33622,2,AX,1,100,0.857
1842881.000,33622,2,AX,1,100,0.861
1842921.000,33638,3,AX,1,100,0.847
1842961.000,33638,3,AX,1,100,0.847
1843001.000,33638,3,AX,1,100,0.854
1843041.000,33655,2,AX,1,100,0.839
1843081.000,33655,2,AX,1,100,0.866
1843121.000,33671,3,AX,1,100,0.846
1843161.000,33671,3,AX,1,100,0.836
1843201.000,33671,3,AX,1,100,0.847
1843241.000,33689,2,AX,1,100,0.847
1843281.000,33689,2,AX,1,100,0.855
1843321.000,33703,3,AX,1,100,0.836
1843361.000,33703,3,AX,1,100,0.842
1843401.000,33703,3,AX,1,100,0.844
1843441.000,33720,2,AX,1,100,0.864
1843481.000,33720,2,AX,1,100,0.839
1843521.000,33736,3,AX,1,100,0.833
1843561.000,33736,3,AX,1,100,0.816
1843601.000,33736,3,AX,1,100,0.864
1843640.500,33754,2,AX,1,100,0.859
1843680.000,33754,2,AX,1,100,0.834
1843720.000,33768,3,AX,1,100,0.863
1843760.000,33768,3,AX,1,100,0.834
1843800.000,33768,3,AX,1,100,0.855
1843840.333,33785,3,AX,1,100,0.853
1843880.667,33785,3,AX,1,100,0.850
1843921.000,33785,3,AX,1,100,0.850
1843961.000,33802,2,AX,1,100,0.848
1844001.000,33802,2,AX,1,100,0.851
1844041.000,33819,3,AX,1,100,0.865
1844081.000,33819,3,AX,1,100,0.850
1844121.000,33819,3,AX,1,100,0.837
1844161.000,33833,2,AX,1,100,0.852
1844201.000,33833,2,AX,1,100,0.865
1844241.000,33853,2,AX,1,100,0.850
1844281.000,33853,2,AX,1,100,0.845
1844325.333,33869,3,AX,1,100,0.834
