EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AY
1839561.000,33087,1,AY,1,100,0.312
1839601.000,33102,2,AY,1,100,0.315
1839641.000,33102,2,AY,1,100,0.317
1839681.000,33119,3,AY,1,100,0.315
1839721.000,33119,3,AY,1,100,0.322
1839761.000,33119,3,AY,1,100,0.318
1839801.000,33137,3,AY,1,100,0.319
1839841.000,33137,3,AY,1,100,0.318
1839881.000,33137,3,AY,1,100,0.323
1839921.000,33155,2,AY,1,100,0.322
1839961.000,33155,2,AY,1,100,0.318
1840001.000,33169,3,AY,1,100,0.324
1840041.000,33169,3,AY,1,100,0.319
1840081.000,33169,3,AY,1,100,0.326
1840121.000,33186,2,AY,1,100,0.319
1840161.000,33186,2,AY,1,100,0.324
1840201.000,33202,3,AY,1,100,0.328
1840241.000,33202,3,AY,1,100,0.319
1840281.000,33202,3,AY,1,100,0.323
1840321.000,33220,2,AY,1,100,0.333
1840361.000,33220,2,AY,1,100,0.318
1840401.000,33234,3,AY,1,100,0.331
1840441.000,33234,3,AY,1,100,0.333
1840481.000,33234,3,AY,1,100,0.333
1840521.000,33251,2,AY,1,100,0.326
1840561.000,33251,2,AY,1,100,0.332
1840601.000,33268,3,AY,1,100,0.330
1840641.000,33268,3,AY,1,100,0.329
1840681.000,33268,3,AY,1,100,0.332
1840721.000,33285,2,AY,1,100,0.332
1840761.000,33285,2,AY,1,100,0.327
1840801.000,33299,3,AY,1,100,0.327
1840841.000,33299,3,AY,1,100,0.331
1840881.000,33299,3,AY,1,100,0.332
1840921.000,33317,2,AY,1,100,0.330
1840961.000,33317,2,AY,1,100,0.326
1841001.000,33335,3,AY,1,100,0.331
1841041.000,33335,3,AY,1,100,0.337
1841081.000,33335,3,AY,1,100,0.334
1841121.000,33352,3,AY,1,100,0.329
1841161.000,33352,3,AY,1,100,0.329
1841201.000,33352,3,AY,1,100,0.335
1841241.000,33369,2,AY,1,100,0.337
1841281.000,33369,2,AY,1,100,0.325
1841321.000,33386,3,AY,1,100,0.333
1841361.000,33386,3,AY,1,100,0.336
1841401.000,33386,3,AY,1,100,0.334
1841441.000,33402,2,AY,1,100,0.324
1841481.000,33402,2,AY,1,100,0.333
1841521.000,33425,5,AY,1,100,0.336
1841561.000,33425,5,AY,1,100,0.326
1841601.000,33425,5,AY,1,100,0.333
1841641.000,33425,5,AY,1,100,0.333
1841681.000,33425,5,AY,1,100,0.333
1841721.000,33441,2,AY,1,100,0.330
1841761.000,33441,2,AY,1,100,0.333
1841801.000,33458,3,AY,1,100,0.335
1841841.000,33458,3,AY,1,100,0.331
1841881.000,33458,3,AY,1,100,0.331
1841921.000,33475,2,AY,1,100,0.327
1841961.000,33475,2,AY,1,100,0.332
1842001.000,33490,3,AY,1,100,0.332
1842041.000,33490,3,AY,1,100,0.333
1842081.000,33490,3,AY,1,100,0.330
1842121.000,33506,2,AY,1,100,0.333
1842161.000,33506,2,AY,1,100,0.331
1842201.000,33523,3,AY,1,100,0.333
1842241.000,33523,3,AY,1,100,0.333
1842281.000,33523,3,AY,1,100,0.328
1842321.000,33540,2,AY,1,100,0.327
1842361.000,33540,2,AY,1,100,0.335
1842401.000,33555,3,AY,1,100,0.333
1842441.000,33555,3,AY,1,100,0.325
1842481.000,33555,3,AY,1,100,0.338
1842521.000,33573,2,AY,1,100,0.337
1842561.000,33573,2,AY,1,100,0.326
1842601.000,33591,3,AY,1,100,0.333
1842641.000,33591,3,AY,1,100,0.328
1842681.000,33591,3,AY,1,100,0.324
1842721.000,33607,3,AY,1,100,0.323
1842761.000,33607,3,AY,1,100,0.332
1842801.000,33607,3,AY,1,100,0.328
1842841.000,33623,2,AY,1,100,0.326
1842881.000,33623,2,AY,1,100,0.322
1842921.000,33639,3,AY,1,100,0.326
1842961.000,33639,3,AY,1,100,0.328
1843001.000,33639,3,AY,1,100,0.326
1843041.000,33656,2,AY,1,100,0.332
1843081.000,33656,2,AY,1,100,0.324
1843121.000,33672,3,AY,1,100,0.327
1843161.000,33672,3,AY,1,100,0.332
1843201.000,33672,3,AY,1,100,0.327
1843241.000,33690,2,AY,1,100,0.330
1843281.000,33690,2,AY,1,100,0.330
1843321.000,33704,3,AY,1,100,0.334
1843361.000,33704,3,AY,1,100,0.328
1843401.000,33704,3,AY,1,100,0.334
1843441.000,33721,2,AY,1,100,0.323
1843481.000,33721,2,AY,1,100,0.341
1843521.000,33737,3,AY,1,100,0.348
1843561.000,33737,3,AY,1,100,0.333
1843601.000,33737,3,AY,1,100,0.328
1843640.500,33755,2,AY,1,100,0.334
1843680.000,33755,2,AY,1,100,0.328
1843720.000,33769,3,AY,1,100,0.325
1843760.000,33769,3,AY,1,100,0.329
1843800.000,33769,3,AY,1,100,0.329
1843840.333,33786,3,AY,1,100,0.334
1843880.667,33786,3,AY,1,100,0.325
1843921.000,33786,3,AY,1,100,0.326
1843961.000,33803,2,AY,1,100,0.329
1844001.000,33803,2,AY,1,100,0.328
1844041.000,33820,3,AY,1,100,0.328
1844081.000,33820,3,AY,1,100,0.324
1844121.000,33820,3,AY,1,100,0.335
1844161.000,33834,2,AY,1,100,0.334
1844201.000,33834,2,AY,1,100,0.320
1844241.000,33854,2,AY,1,100,0.329
1844281.000,33854,2,AY,1,100,0.335
1844325.333,33870,3,AY,1,100,0.334
1844369.667,33870,3,AY,1,100,0.320
1844414.000,33870,3,AY,1,100,0.324
1844454.000,33889,2,AY,1,100,0.332
1844494.000,33889,2,AY,1,100,0.331
1844534.000,33903,3,AY,1,100,0.327
1844574.000,33903,3,AY,1,100,0.324
1844614.000,33903,3,AY,1,100,0.323
1844654.000,33921,2,AY,1,100,0.339
1844694.000,33921,2,AY,1,100,0.326
1844734.000,33937,3,AY,1,100,0.321
1844774.000,33937,3,AY,1,100,0.332
1844814.000,33937,3,AY,1,100,0.332
1844854.000,33954,3,AY,1,100,0.327
1844894.000,33954,3,AY,1,100,0.330
1844934.000,33954,3,AY,1,100,0.323
1844974.000,33970,2,AY,1,100,0.329
1845014.000,33970,2,AY,1,100,0.335
1845054.000,33986,3,AY,1,100,0.324
1845094.000,33986,3,AY,1,100,0.336
1845134.000,33986,3,AY,1,100,0.328
1845174.000,34004,2,AY,1,100,0.323
1845214.000,34004,2,AY,1,100,0.331
1845254.000,34022,3,AY,1,100,0.331
1845294.000,34022,3,AY,1,100,0.325
1845334.000,34022,3,AY,1,100,0.331
1845374.000,34038,2,AY,1,100,0.340
1845414.000,34038,2,AY,1,100,0.339
1845454.000,34053,3,AY,1,100,0.324
1845494.000,34053,3,AY,1,100,0.335
1845534.000,34053,3,AY,1,100,0.333
1845574.000,34070,2,AY,1,100,0.329
1845614.000,34070,2,AY,1,100,0.331
1845654.000,34087,3,AY,1,100,0.337
1845694.000,34087,3,AY,1,100,0.328
1845734.000,34087,3,AY,1,100,0.334
1845774.000,34103,2,AY,1,100,0.331
1845814.000,34103,2,AY,1,100,0.329
1845854.000,34118,3,AY,1,100,0.333
1845894.000,34118,3,AY,1,100,0.324
1845934.000,34118,3,AY,1,100,0.335
1845974.000,34135,3,AY,1,100,0.334
1846014.000,34135,3,AY,1,100,0.337
1846054.000,34135,3,AY,1,100,0.334
1846094.000,34154,2,AY,1,100,0.310
1846134.000,34154,2,AY,1,100,0.317
1846174.000,34170,3,AY,1,100,0.311
1846214.000,34170,3,AY,1,100,0.322
1846254.000,34170,3,AY,1,100,0.332
1846294.000,34186,2,AY,1,100,0.338
1846334.000,34186,2,AY,1,100,0.342
1846369.667,34204,3,AY,1,100,0.350
1846405.333,34204,3,AY,1,100,0.327
1846441.000,34204,3,AY,1,100,0.320
1846481.000,34221,2,AY,1,100,0.343
1846521.000,34221,2,AY,1,100,0.331
1846561.000,34238,3,AY,1,100,0.314
1846601.000,34238,3,AY,1,100,0.333
1846641.000,34238,3,AY,1,100,0.330
1846685.000,34260,3,AY,1,100,0.330
1846729.000,34260,3,AY,1,100,0.321
1846773.000,34260,3,AY,1,100,0.330
1846813.333,34276,3,AY,1,100,0.332
1846853.667,34276,3,AY,1,100,0.320
1846894.000,34276,3,AY,1,100,0.331
1846934.000,34294,2,AY,1,100,0.346
1846974.000,34294,2,AY,1,100,0.349
1847013.667,34310,3,AY,1,100,0.340
1847053.333,34310,3,AY,1,100,0.334
1847093.000,34310,3,AY,1,100,0.329
1847133.333,34327,3,AY,1,100,0.308
1847173.667,34327,3,AY,1,100,0.321
1847214.000,34327,3,AY,1,100,0.329
1847254.000,34344,2,AY,1,100,0.325
1847294.000,34344,2,AY,1,100,0.326
1847334.000,34359,3,AY,1,100,0.325
1847374.000,34359,3,AY,1,100,0.304
1847414.000,34359,3,AY,1,100,0.326
1847454.000,34375,2,AY,1,100,0.375
1847494.000,34375,2,AY,1,100,0.343
1847534.000,34392,3,AY,1,100,0.322
1847574.000,34392,3,AY,1,100,0.327
1847614.000,34392,3,AY,1,100,0.312
1847653.500,34409,2,AY,1,100,0.312
1847693.000,34409,2,AY,1,100,0.306
1847733.333,34424,3,AY,1,100,0.314
1847773.667,34424,3,AY,1,100,0.339
1847814.000,34424,3,AY,1,100,0.316
1847854.000,34440,2,AY,1,100,0.289
1847894.000,34440,2,AY,1,100,0.333
1847933.667,34458,3,AY,1,100,0.282
1847973.333,34458,3,AY,1,100,0.266
1848013.000,34458,3,AY,1,100,0.292
1848053.500,34474,2,AY,1,100,0.328
1848094.000,34474,2,AY,1,100,0.327
1848134.000,34489,3,AY,1,100,0.339
1848174.000,34489,3,AY,1,100,0.351
1848214.000,34489,3,AY,1,100,0.309
1848253.667,34506,3,AY,1,100,0.327
1848293.333,34506,3,AY,1,100,0.308
1848333.000,34506,3,AY,1,100,0.326
1848373.000,34523,2,AY,1,100,0.318
1848413.000,34523,2,AY,1,100,0.331
1848453.000,34539,3,AY,1,100,0.337
1848493.000,34539,3,AY,1,100,0.320
1848533.000,34539,3,AY,1,100,0.289
1848573.000,34555,2,AY,1,100,0.282
1848613.000,34555,2,AY,1,100,0.302
1848653.000,34571,3,AY,1,100,0.282
1848693.000,34571,3,AY,1,100,0.299
1848733.000,34571,3,AY,1,100,0.289
1848773.000,34588,2,AY,1,100,0.284
1848813.000,34588,2,AY,1,100,0.237
1848853.000,34604,3,AY,1,100,0.234
1848893.000,34604,3,AY,1,100,0.247
1848933.000,34604,3,AY,1,100,0.269
1848973.000,34622,2,AY,1,100,0.256
1849013.000,34622,2,AY,1,100,0.255
1849053.000,34636,3,AY,1,100,0.225
1849093.000,34636,3,AY,1,100,0.213
1849133.000,34636,3,AY,1,100,0.207
1849173.000,34653,2,AY,1,100,0.263
1849213.000,34653,2,AY,1,100,0.406
1849253.000,34670,3,AY,1,100,0.215
1849293.000,34670,3,AY,1,100,0.116
1849333.000,34670,3,AY,1,100,0.078
1849373.000,34687,2,AY,1,100,-0.007
1849413.000,34687,2,AY,1,100,-0.127
1849453.000,34701,3,AY,1,100,-0.117
1849493.000,34701,3,AY,1,100,0.002
1849533.000,34701,3,AY,1,100,-0.167
1849573.000,34719,3,AY,1,100,-0.151
1849613.000,34719,3,AY,1,100,0.069
1849653.000,34719,3,AY,1,100,0.031
1849693.000,34735,2,AY,1,100,0.073
1849733.000,34735,2,AY,1,100,0.122
1849773.000,34752,3,AY,1,100,0.054
1849813.000,34752,3,AY,1,100,0.028
1849853.000,34752,3,AY,1,100,0.012
1849893.000,34766,2,AY,1,100,0.059
1849933.000,34766,2,AY,1,100,0.079
1849973.000,34784,3,AY,1,100,0.070
1850013.000,34784,3,AY,1,100,0.043
1850053.000,34784,3,AY,1,100,0.115
1850093.000,34800,2,AY,1,100,0.098
1850133.000,34800,2,AY,1,100,0.004
1850173.000,34817,3,AY,1,100,-0.019
1850213.000,34817,3,AY,1,100,0.010
1850253.000,34817,3,AY,1,100,-0.076
1850293.000,34832,2,AY,1,100,-0.127
1850333.000,34832,2,AY,1,100,-0.172
1850373.000,34849,3,AY,1,100,-0.220
1850413.000,34849,3,AY,1,100,-0.265
1850453.000,34849,3,AY,1,100,-0.246
1850493.000,34865,2,AY,1,100,-0.301
1850533.000,34865,2,AY,1,100,-0.225
1850573.000,34883,3,AY,1,100,-0.281
1850613.000,34883,3,AY,1,100,-0.246
1850653.000,34883,3,AY,1,100,-0.139
1850693.000,34898,2,AY,1,100,0.148
1850733.000,34898,2,AY,1,100,-0.416
1850773.000,34914,3,AY,1,100,-0.259
1850813.000,34914,3,AY,1,100,-0.380
1850853.000,34914,3,AY,1,100,-0.142
1850893.000,34931,3,AY,1,100,-0.094
1850933.000,34931,3,AY,1,100,-0.140
1850973.000,34931,3,AY,1,100,0.091
1851013.000,34948,2,AY,1,100,0.000
1851053.000,34948,2,AY,1,100,-0.069
1851093.000,34964,3,AY,1,100,-0.396
1851133.000,34964,3,AY,1,100,-0.283
1851173.000,34964,3,AY,1,100,-0.473
1851213.000,34979,2,AY,1,100,-0.210
1851253.000,34979,2,AY,1,100,-0.392
