EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
1841273.000,33378,1,B%,1,100,54
1846272.000,34195,1,B%,1,100,55
1851272.000,34988,1,B%,1,100,54
1856271.000,35796,1,B%,1,100,54
1861271.000,36606,1,B%,1,100,54
1866270.000,37396,1,B%,1,100,53
1871270.000,38190,1,B%,1,100,54
1876269.000,38982,1,B%,1,100,54
1881269.000,39776,1,B%,1,100,53
1886268.000,40520,1,B%,1,100,53
1891268.000,41324,1,B%,1,100,53
1896267.000,42134,1,B%,1,100,54
1901267.000,42943,1,B%,1,100,53
1906266.000,43733,1,B%,1,100,53
1911266.000,44528,1,B%,1,100,53
