EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1839574.000,33082,1,EA,1,100,2.011208
1839640.000,33099,1,EA,1,100,2.010038
1839707.000,33114,2,EA,1,100,2.010620
1839774.000,33114,2,EA,1,100,2.010620
1839840.000,33132,1,EA,1,100,2.011208
1839907.000,33150,2,EA,1,100,2.010038
1839974.000,33150,2,EA,1,100,2.011208
1840040.000,33166,1,EA,1,100,2.010620
1840107.000,33181,2,EA,1,100,2.011791
1840174.000,33181,2,EA,1,100,2.011791
1840240.000,33197,1,EA,1,100,2.012964
1840307.000,33215,2,EA,1,100,2.012964
1840374.000,33215,2,EA,1,100,2.012964
1840440.000,33231,1,EA,1,100,2.013547
1840507.000,33246,2,EA,1,100,2.015312
1840574.000,33246,2,EA,1,100,2.015312
1840640.000,33263,1,EA,1,100,2.015312
1840706.500,33280,2,EA,1,100,2.015898
1840773.000,33280,2,EA,1,100,2.018840
1840840.000,33296,1,EA,1,100,2.018840
1840906.500,33312,2,EA,1,100,2.019428
1840973.000,33312,2,EA,1,100,2.018840
1841040.000,33330,1,EA,1,100,2.019428
1841107.000,33347,2,EA,1,100,2.019428
1841174.000,33347,2,EA,1,100,2.021791
1841240.500,33364,2,EA,1,100,2.020609
1841307.000,33364,2,EA,1,100,2.021791
1841373.000,33383,1,EA,1,100,2.021791
1841440.000,33397,2,EA,1,100,2.021791
1841507.000,33397,2,EA,1,100,2.021791
1841573.500,33420,2,EA,1,100,2.021791
1841640.000,33420,2,EA,1,100,2.021791
1841706.500,33436,2,EA,1,100,2.023565
1841773.000,33436,2,EA,1,100,2.024751
1841840.000,33453,1,EA,1,100,2.024751
1841906.500,33470,2,EA,1,100,2.024751
1841973.000,33470,2,EA,1,100,2.024751
1842040.000,33487,1,EA,1,100,2.027128
1842106.500,33501,2,EA,1,100,2.027128
1842173.000,33501,2,EA,1,100,2.026530
1842240.000,33518,1,EA,1,100,2.027720
1842306.500,33535,2,EA,1,100,2.025342
1842373.000,33535,2,EA,1,100,2.026530
1842440.000,33552,1,EA,1,100,2.025939
1842506.500,33568,2,EA,1,100,2.025939
1842573.000,33568,2,EA,1,100,2.025342
1842640.000,33586,1,EA,1,100,2.026530
1842706.500,33602,2,EA,1,100,2.026530
1842773.000,33602,2,EA,1,100,2.025939
1842840.000,33619,1,EA,1,100,2.025939
