EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1839574.000,33083,1,EL,1,100,-18878.400391
1839640.000,33100,1,EL,1,100,-18878.000000
1839707.000,33115,2,EL,1,100,-18878.199219
1839774.000,33115,2,EL,1,100,-18878.199219
1839840.000,33133,1,EL,1,100,-18878.400391
1839907.000,33151,2,EL,1,100,-18878.000000
1839974.000,33151,2,EL,1,100,-18878.400391
1840040.000,33167,1,EL,1,100,-18878.199219
1840107.000,33182,2,EL,1,100,-18878.599609
1840174.000,33182,2,EL,1,100,-18878.599609
1840240.000,33198,1,EL,1,100,-18879.000000
1840307.000,33216,2,EL,1,100,-18879.000000
1840374.000,33216,2,EL,1,100,-18879.000000
1840440.000,33232,1,EL,1,100,-18879.199219
1840507.000,33247,2,EL,1,100,-18879.800781
1840574.000,33247,2,EL,1,100,-18879.800781
1840640.000,33264,1,EL,1,100,-18879.800781
1840706.500,33281,2,EL,1,100,-18880.000000
1840773.000,33281,2,EL,1,100,-18881.000000
1840840.000,33297,1,EL,1,100,-18881.000000
1840906.500,33313,2,EL,1,100,-18881.199219
1840973.000,33313,2,EL,1,100,-18881.000000
1841040.000,33331,1,EL,1,100,-18881.199219
1841107.000,33348,2,EL,1,100,-18881.199219
1841174.000,33348,2,EL,1,100,-18882.000000
1841240.500,33365,2,EL,1,100,-18881.599609
1841307.000,33365,2,EL,1,100,-18882.000000
1841373.000,33384,1,EL,1,100,-18882.000000
1841440.000,33398,2,EL,1,100,-18882.000000
1841507.000,33398,2,EL,1,100,-18882.000000
1841573.500,33421,2,EL,1,100,-18882.000000
1841640.000,33421,2,EL,1,100,-18882.000000
1841706.500,33437,2,EL,1,100,-18882.599609
1841773.000,33437,2,EL,1,100,-18883.000000
1841840.000,33454,1,EL,1,100,-18883.000000
1841906.500,33471,2,EL,1,100,-18883.000000
1841973.000,33471,2,EL,1,100,-18883.000000
1842040.000,33488,1,EL,1,100,-18883.800781
1842106.500,33502,2,EL,1,100,-18883.800781
1842173.000,33502,2,EL,1,100,-18883.599609
1842240.000,33519,1,EL,1,100,-18884.000000
1842306.500,33536,2,EL,1,100,-18883.199219
1842373.000,33536,2,EL,1,100,-18883.599609
1842440.000,33553,1,EL,1,100,-18883.400391
1842506.500,33569,2,EL,1,100,-18883.400391
1842573.000,33569,2,EL,1,100,-18883.199219
1842640.000,33587,1,EL,1,100,-18883.599609
1842706.500,33603,2,EL,1,100,-18883.599609
1842773.000,33603,2,EL,1,100,-18883.400391
1842840.000,33620,1,EL,1,100,-18883.400391
1842906.500,33636,2,EL,1,100,-18883.199219
1842973.000,33636,2,EL,1,100,-18883.000000
1843040.000,33652,1,EL,1,100,-18883.000000
1843106.500,33668,2,EL,1,100,-18883.599609
1843173.000,33668,2,EL,1,100,-18884.000000
1843240.000,33686,2,EL,1,100,-18883.199219
1843307.000,33686,2,EL,1,100,-18883.000000
1843373.000,33702,1,EL,1,100,-18883.199219
1843440.000,33717,2,EL,1,100,-18883.199219
1843507.000,33717,2,EL,1,100,-18883.000000
1843573.000,33733,1,EL,1,100,-18883.400391
1843640.000,33751,2,EL,1,100,-18883.000000
1843707.000,33751,2,EL,1,100,-18883.199219
1843773.000,33767,1,EL,1,100,-18883.000000
1843840.000,33782,2,EL,1,100,-18883.000000
1843907.000,33782,2,EL,1,100,-18883.000000
1843973.000,33799,1,EL,1,100,-18883.000000
1844039.500,33816,2,EL,1,100,-18883.000000
1844106.000,33816,2,EL,1,100,-18883.000000
1844173.000,33832,1,EL,1,100,-18882.800781
1844239.500,33850,2,EL,1,100,-18882.800781
1844306.000,33850,2,EL,1,100,-18882.599609
1844373.000,33866,1,EL,1,100,-18882.800781
1844439.500,33885,2,EL,1,100,-18882.800781
1844506.000,33885,2,EL,1,100,-18883.000000
1844573.000,33901,1,EL,1,100,-18882.599609
1844639.500,33917,2,EL,1,100,-18882.199219
1844706.000,33917,2,EL,1,100,-18881.599609
1844773.000,33933,1,EL,1,100,-18882.000000
1844839.500,33950,2,EL,1,100,-18881.800781
1844906.000,33950,2,EL,1,100,-18881.599609
