EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EM
1839575.000,33081,4,EM,1,100,RS
1839575.000,33081,4,EM,1,100,RB
1839575.000,33081,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1839575.000,33081,4,EM,1,100,PS
1839625.250,33110,4,EM,1,100,RS
1839675.500,33110,4,EM,1,100,RB
1839725.750,33110,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1839776.000,33110,4,EM,1,100,PS
1839826.000,33145,4,EM,1,100,RS
1839876.000,33145,4,EM,1,100,RB
1839926.000,33145,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1839976.000,33145,4,EM,1,100,PS
1840026.250,33177,4,EM,1,100,RS
1840076.500,33177,4,EM,1,100,RB
1840126.750,33177,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1840177.000,33177,4,EM,1,100,PS
1840227.250,33210,4,EM,1,100,RS
1840277.500,33210,4,EM,1,100,RB
1840327.750,33210,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1840378.000,33210,4,EM,1,100,PS
1840428.250,33242,4,EM,1,100,RS
1840478.500,33242,4,EM,1,100,RB
1840528.750,33242,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1840579.000,33242,4,EM,1,100,PS
1840630.250,33276,4,EM,1,100,RS
1840681.500,33276,4,EM,1,100,RB
1840732.750,33276,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1840784.000,33276,4,EM,1,100,PS
1840834.250,33307,4,EM,1,100,RS
1840884.500,33307,4,EM,1,100,RB
1840934.750,33307,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1840985.000,33307,4,EM,1,100,PS
1841036.000,33343,4,EM,1,100,RS
1841087.000,33343,4,EM,1,100,RB
1841138.000,33343,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1841189.000,33343,4,EM,1,100,PS
1841239.250,33379,4,EM,1,100,RS
1841289.500,33379,4,EM,1,100,RB
1841339.750,33379,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1841390.000,33379,4,EM,1,100,PS
1841462.000,33415,4,EM,1,100,RS
1841534.000,33415,4,EM,1,100,RB
1841606.000,33415,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1841678.000,33415,4,EM,1,100,PS
1841728.250,33449,4,EM,1,100,RS
1841778.500,33449,4,EM,1,100,RB
1841828.750,33449,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1841879.000,33449,4,EM,1,100,PS
1841929.750,33483,4,EM,1,100,RS
1841980.500,33483,4,EM,1,100,RB
1842031.250,33483,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1842082.000,33483,4,EM,1,100,PS
1842132.250,33514,4,EM,1,100,RS
1842182.500,33514,4,EM,1,100,RB
1842232.750,33514,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1842283.000,33514,4,EM,1,100,PS
1842333.250,33548,4,EM,1,100,RS
1842383.500,33548,4,EM,1,100,RB
1842433.750,33548,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1842484.000,33548,4,EM,1,100,PS
1842534.250,33581,4,EM,1,100,RS
1842584.500,33581,4,EM,1,100,RB
1842634.750,33581,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1842685.000,33581,4,EM,1,100,PS
1842735.500,33615,4,EM,1,100,RS
1842786.000,33615,4,EM,1,100,RB
1842836.500,33615,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1842887.000,33615,4,EM,1,100,PS
1842937.250,33647,4,EM,1,100,RS
1842987.500,33647,4,EM,1,100,RB
1843037.750,33647,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1843088.000,33647,4,EM,1,100,PS
1843138.250,33680,4,EM,1,100,RS
1843188.500,33680,4,EM,1,100,RB
1843238.750,33680,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1843289.000,33680,4,EM,1,100,PS
