EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GX
1839561.000,33089,1,GX,1,100,2.899
1839601.000,33104,2,GX,1,100,0.824
1839641.000,33104,2,GX,1,100,0.336
1839681.000,33121,3,GX,1,100,3.021
1839721.000,33121,3,GX,1,100,4.333
1839761.000,33121,3,GX,1,100,-0.305
1839801.000,33139,3,GX,1,100,-1.312
1839841.000,33139,3,GX,1,100,2.747
1839881.000,33139,3,GX,1,100,1.953
1839921.000,33157,2,GX,1,100,-0.336
1839961.000,33157,2,GX,1,100,1.953
1840001.000,33171,3,GX,1,100,1.862
1840041.000,33171,3,GX,1,100,0.519
1840081.000,33171,3,GX,1,100,1.282
1840121.000,33188,2,GX,1,100,1.343
1840161.000,33188,2,GX,1,100,1.434
1840201.000,33204,3,GX,1,100,1.434
1840241.000,33204,3,GX,1,100,-0.031
1840281.000,33204,3,GX,1,100,1.221
1840321.000,33222,2,GX,1,100,2.563
1840361.000,33222,2,GX,1,100,1.068
1840401.000,33236,3,GX,1,100,2.960
1840441.000,33236,3,GX,1,100,3.387
1840481.000,33236,3,GX,1,100,4.089
1840521.000,33253,2,GX,1,100,2.136
1840561.000,33253,2,GX,1,100,-1.495
1840601.000,33270,3,GX,1,100,0.641
1840641.000,33270,3,GX,1,100,0.854
1840681.000,33270,3,GX,1,100,-2.655
1840721.000,33287,2,GX,1,100,0.305
1840761.000,33287,2,GX,1,100,0.763
1840801.000,33301,3,GX,1,100,0.519
1840841.000,33301,3,GX,1,100,2.258
1840881.000,33301,3,GX,1,100,0.824
1840921.000,33319,2,GX,1,100,2.869
1840961.000,33319,2,GX,1,100,2.625
1841001.000,33337,3,GX,1,100,1.831
1841041.000,33337,3,GX,1,100,0.916
1841081.000,33337,3,GX,1,100,0.641
1841121.000,33354,3,GX,1,100,1.984
1841161.000,33354,3,GX,1,100,2.136
1841201.000,33354,3,GX,1,100,0.763
1841241.000,33371,2,GX,1,100,-0.946
1841281.000,33371,2,GX,1,100,-0.427
1841321.000,33388,3,GX,1,100,-0.092
1841361.000,33388,3,GX,1,100,0.488
1841401.000,33388,3,GX,1,100,1.282
1841441.000,33404,2,GX,1,100,2.411
1841481.000,33404,2,GX,1,100,0.641
1841521.000,33427,5,GX,1,100,0.519
1841561.000,33427,5,GX,1,100,1.312
1841601.000,33427,5,GX,1,100,1.160
1841641.000,33427,5,GX,1,100,0.732
1841681.000,33427,5,GX,1,100,0.854
1841721.000,33443,2,GX,1,100,1.984
1841761.000,33443,2,GX,1,100,0.580
1841801.000,33460,3,GX,1,100,0.427
1841841.000,33460,3,GX,1,100,0.122
1841881.000,33460,3,GX,1,100,1.007
1841921.000,33477,2,GX,1,100,0.458
1841961.000,33477,2,GX,1,100,0.000
1842001.000,33492,3,GX,1,100,0.061
1842041.000,33492,3,GX,1,100,0.244
1842081.000,33492,3,GX,1,100,0.336
1842121.000,33508,2,GX,1,100,1.373
1842161.000,33508,2,GX,1,100,-0.458
1842201.000,33525,3,GX,1,100,0.885
1842241.000,33525,3,GX,1,100,0.732
1842281.000,33525,3,GX,1,100,0.610
1842321.000,33542,2,GX,1,100,2.228
1842361.000,33542,2,GX,1,100,1.373
1842401.000,33557,3,GX,1,100,-0.458
1842441.000,33557,3,GX,1,100,1.068
1842481.000,33557,3,GX,1,100,0.336
1842521.000,33575,2,GX,1,100,-0.824
1842561.000,33575,2,GX,1,100,-0.305
1842601.000,33593,3,GX,1,100,-1.465
1842641.000,33593,3,GX,1,100,-0.488
1842681.000,33593,3,GX,1,100,0.977
1842721.000,33609,3,GX,1,100,0.305
1842761.000,33609,3,GX,1,100,-1.831
1842801.000,33609,3,GX,1,100,1.434
1842841.000,33625,2,GX,1,100,1.648
1842881.000,33625,2,GX,1,100,0.854
1842921.000,33641,3,GX,1,100,1.801
1842961.000,33641,3,GX,1,100,1.282
1843001.000,33641,3,GX,1,100,0.336
1843041.000,33658,2,GX,1,100,1.282
1843081.000,33658,2,GX,1,100,-0.244
1843121.000,33674,3,GX,1,100,-0.031
1843161.000,33674,3,GX,1,100,1.587
1843201.000,33674,3,GX,1,100,0.732
1843241.000,33692,2,GX,1,100,-0.641
1843281.000,33692,2,GX,1,100,0.732
1843321.000,33706,3,GX,1,100,1.801
1843361.000,33706,3,GX,1,100,1.862
1843401.000,33706,3,GX,1,100,0.793
1843441.000,33723,2,GX,1,100,1.221
1843481.000,33723,2,GX,1,100,0.916
1843521.000,33739,3,GX,1,100,0.092
1843561.000,33739,3,GX,1,100,2.899
1843601.000,33739,3,GX,1,100,1.221
1843640.500,33757,2,GX,1,100,-1.404
1843680.000,33757,2,GX,1,100,0.397
1843720.000,33771,3,GX,1,100,-0.885
1843760.000,33771,3,GX,1,100,0.641
1843800.000,33771,3,GX,1,100,1.160
1843840.333,33788,3,GX,1,100,-0.427
1843880.667,33788,3,GX,1,100,2.838
1843921.000,33788,3,GX,1,100,0.092
1843961.000,33805,2,GX,1,100,0.031
1844001.000,33805,2,GX,1,100,2.258
1844041.000,33822,3,GX,1,100,0.610
1844081.000,33822,3,GX,1,100,1.984
1844121.000,33822,3,GX,1,100,1.831
1844161.000,33836,2,GX,1,100,-0.458
1844201.000,33836,2,GX,1,100,1.617
1844241.000,33856,2,GX,1,100,-0.153
1844281.000,33856,2,GX,1,100,-0.336
1844325.333,33872,3,GX,1,100,2.808
1844369.667,33872,3,GX,1,100,-0.092
1844414.000,33872,3,GX,1,100,0.977
1844454.000,33891,2,GX,1,100,1.709
1844494.000,33891,2,GX,1,100,-0.092
1844534.000,33905,3,GX,1,100,-0.275
1844574.000,33905,3,GX,1,100,0.549
1844614.000,33905,3,GX,1,100,0.702
1844654.000,33923,2,GX,1,100,-0.214
1844694.000,33923,2,GX,1,100,0.854
1844734.000,33939,3,GX,1,100,3.571
1844774.000,33939,3,GX,1,100,-0.336
1844814.000,33939,3,GX,1,100,0.641
1844854.000,33956,3,GX,1,100,2.655
1844894.000,33956,3,GX,1,100,0.519
1844934.000,33956,3,GX,1,100,-0.610
1844974.000,33972,2,GX,1,100,1.953
1845014.000,33972,2,GX,1,100,1.770
1845054.000,33988,3,GX,1,100,1.495
1845094.000,33988,3,GX,1,100,-0.183
1845134.000,33988,3,GX,1,100,1.099
1845174.000,34006,2,GX,1,100,4.150
1845214.000,34006,2,GX,1,100,5.554
1845254.000,34024,3,GX,1,100,-1.038
1845294.000,34024,3,GX,1,100,-0.549
1845334.000,34024,3,GX,1,100,0.458
1845374.000,34040,2,GX,1,100,-1.801
1845414.000,34040,2,GX,1,100,1.465
1845454.000,34055,3,GX,1,100,2.869
1845494.000,34055,3,GX,1,100,1.129
1845534.000,34055,3,GX,1,100,-0.305
1845574.000,34072,2,GX,1,100,0.458
1845614.000,34072,2,GX,1,100,1.099
1845654.000,34089,3,GX,1,100,0.427
1845694.000,34089,3,GX,1,100,0.031
1845734.000,34089,3,GX,1,100,0.244
1845774.000,34105,2,GX,1,100,0.916
1845814.000,34105,2,GX,1,100,0.732
1845854.000,34120,3,GX,1,100,0.366
1845894.000,34120,3,GX,1,100,0.153
1845934.000,34120,3,GX,1,100,-0.366
1845974.000,34137,3,GX,1,100,0.977
1846014.000,34137,3,GX,1,100,1.648
1846054.000,34137,3,GX,1,100,0.427
1846094.000,34156,2,GX,1,100,0.122
1846134.000,34156,2,GX,1,100,-1.709
1846174.000,34172,3,GX,1,100,-2.228
1846214.000,34172,3,GX,1,100,-1.587
1846254.000,34172,3,GX,1,100,-0.824
1846294.000,34188,2,GX,1,100,-1.709
1846334.000,34188,2,GX,1,100,-3.601
1846369.667,34206,3,GX,1,100,-4.791
1846405.333,34206,3,GX,1,100,-1.648
1846441.000,34206,3,GX,1,100,-2.563
1846481.000,34223,2,GX,1,100,-0.824
1846521.000,34223,2,GX,1,100,1.617
1846561.000,34240,3,GX,1,100,1.770
1846601.000,34240,3,GX,1,100,0.488
1846641.000,34240,3,GX,1,100,1.282
1846685.000,34262,3,GX,1,100,2.625
1846729.000,34262,3,GX,1,100,6.195
1846773.000,34262,3,GX,1,100,1.343
1846813.333,34278,3,GX,1,100,-0.549
1846853.667,34278,3,GX,1,100,-0.275
1846894.000,34278,3,GX,1,100,-4.944
1846934.000,34296,2,GX,1,100,-1.923
1846974.000,34296,2,GX,1,100,-1.862
1847013.667,34312,3,GX,1,100,-1.801
1847053.333,34312,3,GX,1,100,0.916
1847093.000,34312,3,GX,1,100,1.648
1847133.333,34329,3,GX,1,100,-2.594
1847173.667,34329,3,GX,1,100,-1.953
1847214.000,34329,3,GX,1,100,-0.397
1847254.000,34346,2,GX,1,100,0.977
1847294.000,34346,2,GX,1,100,1.984
1847334.000,34361,3,GX,1,100,5.463
1847374.000,34361,3,GX,1,100,3.906
1847414.000,34361,3,GX,1,100,-2.899
1847454.000,34377,2,GX,1,100,-3.265
1847494.000,34377,2,GX,1,100,1.556
1847534.000,34394,3,GX,1,100,2.838
1847574.000,34394,3,GX,1,100,2.716
1847614.000,34394,3,GX,1,100,5.829
1847653.500,34411,2,GX,1,100,1.495
1847693.000,34411,2,GX,1,100,-2.106
1847733.333,34426,3,GX,1,100,-0.641
1847773.667,34426,3,GX,1,100,-1.404
1847814.000,34426,3,GX,1,100,-1.678
1847854.000,34442,2,GX,1,100,-3.998
1847894.000,34442,2,GX,1,100,-10.712
1847933.667,34460,3,GX,1,100,-24.048
1847973.333,34460,3,GX,1,100,-40.039
1848013.000,34460,3,GX,1,100,-25.757
1848053.500,34476,2,GX,1,100,-21.057
1848094.000,34476,2,GX,1,100,-36.011
1848134.000,34491,3,GX,1,100,-30.396
1848174.000,34491,3,GX,1,100,-63.568
1848214.000,34491,3,GX,1,100,-47.333
1848253.667,34508,3,GX,1,100,-10.681
1848293.333,34508,3,GX,1,100,5.493
1848333.000,34508,3,GX,1,100,-8.606
1848373.000,34525,2,GX,1,100,-6.836
1848413.000,34525,2,GX,1,100,-12.787
1848453.000,34541,3,GX,1,100,-14.313
1848493.000,34541,3,GX,1,100,3.052
1848533.000,34541,3,GX,1,100,-10.590
1848573.000,34557,2,GX,1,100,-10.345
1848613.000,34557,2,GX,1,100,-6.287
1848653.000,34573,3,GX,1,100,-6.195
1848693.000,34573,3,GX,1,100,-3.662
1848733.000,34573,3,GX,1,100,6.805
1848773.000,34590,2,GX,1,100,0.824
1848813.000,34590,2,GX,1,100,-6.378
1848853.000,34606,3,GX,1,100,7.050
1848893.000,34606,3,GX,1,100,0.580
1848933.000,34606,3,GX,1,100,-10.895
1848973.000,34624,2,GX,1,100,-12.604
1849013.000,34624,2,GX,1,100,-9.552
1849053.000,34638,3,GX,1,100,-8.667
1849093.000,34638,3,GX,1,100,-8.270
