EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GY
1839561.000,33090,1,GY,1,100,0.031
1839601.000,33105,2,GY,1,100,1.038
1839641.000,33105,2,GY,1,100,1.221
1839681.000,33122,3,GY,1,100,-1.404
1839721.000,33122,3,GY,1,100,-2.411
1839761.000,33122,3,GY,1,100,1.068
1839801.000,33140,3,GY,1,100,1.801
1839841.000,33140,3,GY,1,100,-0.366
1839881.000,33140,3,GY,1,100,0.275
1839921.000,33158,2,GY,1,100,1.648
1839961.000,33158,2,GY,1,100,0.366
1840001.000,33172,3,GY,1,100,0.366
1840041.000,33172,3,GY,1,100,1.465
1840081.000,33172,3,GY,1,100,0.671
1840121.000,33189,2,GY,1,100,0.488
1840161.000,33189,2,GY,1,100,0.366
1840201.000,33205,3,GY,1,100,-0.031
1840241.000,33205,3,GY,1,100,1.465
1840281.000,33205,3,GY,1,100,0.885
1840321.000,33223,2,GY,1,100,0.000
1840361.000,33223,2,GY,1,100,0.488
1840401.000,33237,3,GY,1,100,-1.190
1840441.000,33237,3,GY,1,100,-1.007
1840481.000,33237,3,GY,1,100,-2.319
1840521.000,33254,2,GY,1,100,-0.549
1840561.000,33254,2,GY,1,100,2.594
1840601.000,33271,3,GY,1,100,-0.641
1840641.000,33271,3,GY,1,100,-0.153
1840681.000,33271,3,GY,1,100,1.862
1840721.000,33288,2,GY,1,100,0.397
1840761.000,33288,2,GY,1,100,0.916
1840801.000,33302,3,GY,1,100,0.702
1840841.000,33302,3,GY,1,100,0.336
1840881.000,33302,3,GY,1,100,1.709
1840921.000,33320,2,GY,1,100,0.122
1840961.000,33320,2,GY,1,100,0.488
1841001.000,33338,3,GY,1,100,1.007
1841041.000,33338,3,GY,1,100,1.007
1841081.000,33338,3,GY,1,100,1.312
1841121.000,33355,3,GY,1,100,0.061
1841161.000,33355,3,GY,1,100,-0.397
1841201.000,33355,3,GY,1,100,0.885
1841241.000,33372,2,GY,1,100,1.312
1841281.000,33372,2,GY,1,100,0.946
1841321.000,33389,3,GY,1,100,0.793
1841361.000,33389,3,GY,1,100,1.160
1841401.000,33389,3,GY,1,100,-0.031
1841441.000,33405,2,GY,1,100,0.427
1841481.000,33405,2,GY,1,100,1.465
1841521.000,33428,5,GY,1,100,1.282
1841561.000,33428,5,GY,1,100,1.251
1841601.000,33428,5,GY,1,100,1.160
1841641.000,33428,5,GY,1,100,0.854
1841681.000,33428,5,GY,1,100,0.732
1841721.000,33444,2,GY,1,100,0.885
1841761.000,33444,2,GY,1,100,0.854
1841801.000,33461,3,GY,1,100,1.068
1841841.000,33461,3,GY,1,100,0.885
1841881.000,33461,3,GY,1,100,0.458
1841921.000,33478,2,GY,1,100,1.190
1841961.000,33478,2,GY,1,100,1.038
1842001.000,33493,3,GY,1,100,1.160
1842041.000,33493,3,GY,1,100,1.129
1842081.000,33493,3,GY,1,100,1.434
1842121.000,33509,2,GY,1,100,0.885
1842161.000,33509,2,GY,1,100,1.343
1842201.000,33526,3,GY,1,100,1.404
1842241.000,33526,3,GY,1,100,1.434
1842281.000,33526,3,GY,1,100,1.221
1842321.000,33543,2,GY,1,100,0.916
1842361.000,33543,2,GY,1,100,1.617
1842401.000,33558,3,GY,1,100,1.678
1842441.000,33558,3,GY,1,100,0.793
1842481.000,33558,3,GY,1,100,1.038
1842521.000,33576,2,GY,1,100,2.136
1842561.000,33576,2,GY,1,100,1.434
1842601.000,33594,3,GY,1,100,2.167
1842641.000,33594,3,GY,1,100,1.862
1842681.000,33594,3,GY,1,100,0.122
1842721.000,33610,3,GY,1,100,1.038
1842761.000,33610,3,GY,1,100,2.014
1842801.000,33610,3,GY,1,100,0.702
1842841.000,33626,2,GY,1,100,0.793
1842881.000,33626,2,GY,1,100,1.495
1842921.000,33642,3,GY,1,100,0.854
