EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GZ
1839561.000,33091,1,GZ,1,100,0.397
1839601.000,33106,2,GZ,1,100,0.885
1839641.000,33106,2,GZ,1,100,-0.244
1839681.000,33123,3,GZ,1,100,0.214
1839721.000,33123,3,GZ,1,100,-0.885
1839761.000,33123,3,GZ,1,100,-0.824
1839801.000,33141,3,GZ,1,100,0.702
1839841.000,33141,3,GZ,1,100,0.214
1839881.000,33141,3,GZ,1,100,-0.336
1839921.000,33159,2,GZ,1,100,0.610
1839961.000,33159,2,GZ,1,100,0.061
1840001.000,33173,3,GZ,1,100,-0.092
1840041.000,33173,3,GZ,1,100,-0.061
1840081.000,33173,3,GZ,1,100,0.031
1840121.000,33190,2,GZ,1,100,-0.427
1840161.000,33190,2,GZ,1,100,-0.397
1840201.000,33206,3,GZ,1,100,-1.404
1840241.000,33206,3,GZ,1,100,-0.061
1840281.000,33206,3,GZ,1,100,0.916
1840321.000,33224,2,GZ,1,100,-0.427
1840361.000,33224,2,GZ,1,100,0.366
1840401.000,33238,3,GZ,1,100,0.854
1840441.000,33238,3,GZ,1,100,-1.770
1840481.000,33238,3,GZ,1,100,-1.495
1840521.000,33255,2,GZ,1,100,0.214
1840561.000,33255,2,GZ,1,100,-0.092
1840601.000,33272,3,GZ,1,100,0.793
1840641.000,33272,3,GZ,1,100,0.000
1840681.000,33272,3,GZ,1,100,0.793
1840721.000,33289,2,GZ,1,100,0.488
1840761.000,33289,2,GZ,1,100,-0.305
1840801.000,33303,3,GZ,1,100,1.160
1840841.000,33303,3,GZ,1,100,0.244
1840881.000,33303,3,GZ,1,100,0.122
1840921.000,33321,2,GZ,1,100,0.336
1840961.000,33321,2,GZ,1,100,0.641
1841001.000,33339,3,GZ,1,100,-0.061
1841041.000,33339,3,GZ,1,100,0.305
1841081.000,33339,3,GZ,1,100,0.397
1841121.000,33356,3,GZ,1,100,0.641
1841161.000,33356,3,GZ,1,100,0.946
1841201.000,33356,3,GZ,1,100,-0.397
1841241.000,33373,2,GZ,1,100,0.122
1841281.000,33373,2,GZ,1,100,1.007
1841321.000,33390,3,GZ,1,100,0.305
1841361.000,33390,3,GZ,1,100,0.122
1841401.000,33390,3,GZ,1,100,1.434
1841441.000,33406,2,GZ,1,100,0.732
1841481.000,33406,2,GZ,1,100,0.305
1841521.000,33429,5,GZ,1,100,0.458
1841561.000,33429,5,GZ,1,100,0.763
1841601.000,33429,5,GZ,1,100,0.702
1841641.000,33429,5,GZ,1,100,0.732
1841681.000,33429,5,GZ,1,100,0.305
1841721.000,33445,2,GZ,1,100,-0.244
1841761.000,33445,2,GZ,1,100,1.434
1841801.000,33462,3,GZ,1,100,-0.061
1841841.000,33462,3,GZ,1,100,1.251
1841881.000,33462,3,GZ,1,100,0.336
1841921.000,33479,2,GZ,1,100,0.305
1841961.000,33479,2,GZ,1,100,0.671
1842001.000,33494,3,GZ,1,100,0.366
1842041.000,33494,3,GZ,1,100,0.854
1842081.000,33494,3,GZ,1,100,0.885
1842121.000,33510,2,GZ,1,100,0.000
1842161.000,33510,2,GZ,1,100,0.885
1842201.000,33527,3,GZ,1,100,0.519
1842241.000,33527,3,GZ,1,100,0.061
1842281.000,33527,3,GZ,1,100,0.793
1842321.000,33544,2,GZ,1,100,0.031
1842361.000,33544,2,GZ,1,100,0.183
1842401.000,33559,3,GZ,1,100,0.305
1842441.000,33559,3,GZ,1,100,-0.092
1842481.000,33559,3,GZ,1,100,0.336
1842521.000,33577,2,GZ,1,100,0.122
1842561.000,33577,2,GZ,1,100,0.916
1842601.000,33595,3,GZ,1,100,1.434
1842641.000,33595,3,GZ,1,100,0.427
1842681.000,33595,3,GZ,1,100,0.336
1842721.000,33611,3,GZ,1,100,0.275
1842761.000,33611,3,GZ,1,100,0.854
1842801.000,33611,3,GZ,1,100,-0.031
1842841.000,33627,2,GZ,1,100,0.153
1842881.000,33627,2,GZ,1,100,1.678
1842921.000,33643,3,GZ,1,100,0.488
1842961.000,33643,3,GZ,1,100,-0.336
1843001.000,33643,3,GZ,1,100,0.458
1843041.000,33660,2,GZ,1,100,0.183
1843081.000,33660,2,GZ,1,100,0.702
1843121.000,33676,3,GZ,1,100,0.092
1843161.000,33676,3,GZ,1,100,0.244
1843201.000,33676,3,GZ,1,100,0.397
1843241.000,33694,2,GZ,1,100,0.885
1843281.000,33694,2,GZ,1,100,0.427
1843321.000,33708,3,GZ,1,100,0.275
1843361.000,33708,3,GZ,1,100,0.519
1843401.000,33708,3,GZ,1,100,0.366
1843441.000,33725,2,GZ,1,100,0.824
1843481.000,33725,2,GZ,1,100,0.702
1843521.000,33741,3,GZ,1,100,-0.305
1843561.000,33741,3,GZ,1,100,0.488
1843601.000,33741,3,GZ,1,100,0.244
1843640.500,33759,2,GZ,1,100,0.977
1843680.000,33759,2,GZ,1,100,0.122
1843720.000,33773,3,GZ,1,100,0.366
1843760.000,33773,3,GZ,1,100,0.885
1843800.000,33773,3,GZ,1,100,-0.488
1843840.333,33790,3,GZ,1,100,0.549
1843880.667,33790,3,GZ,1,100,1.129
1843921.000,33790,3,GZ,1,100,0.641
1843961.000,33807,2,GZ,1,100,0.610
1844001.000,33807,2,GZ,1,100,0.244
1844041.000,33824,3,GZ,1,100,0.214
1844081.000,33824,3,GZ,1,100,0.946
1844121.000,33824,3,GZ,1,100,0.183
1844161.000,33838,2,GZ,1,100,0.397
1844201.000,33838,2,GZ,1,100,1.465
1844241.000,33858,2,GZ,1,100,0.549
1844281.000,33858,2,GZ,1,100,-0.122
1844325.333,33874,3,GZ,1,100,-0.153
1844369.667,33874,3,GZ,1,100,0.946
1844414.000,33874,3,GZ,1,100,0.549
1844454.000,33893,2,GZ,1,100,-0.671
1844494.000,33893,2,GZ,1,100,0.488
1844534.000,33907,3,GZ,1,100,1.038
1844574.000,33907,3,GZ,1,100,0.580
1844614.000,33907,3,GZ,1,100,1.068
1844654.000,33925,2,GZ,1,100,-0.122
1844694.000,33925,2,GZ,1,100,0.671
1844734.000,33941,3,GZ,1,100,1.465
1844774.000,33941,3,GZ,1,100,0.031
1844814.000,33941,3,GZ,1,100,0.092
1844854.000,33958,3,GZ,1,100,0.671
1844894.000,33958,3,GZ,1,100,0.061
1844934.000,33958,3,GZ,1,100,0.854
1844974.000,33974,2,GZ,1,100,-0.061
1845014.000,33974,2,GZ,1,100,-0.732
1845054.000,33990,3,GZ,1,100,1.007
1845094.000,33990,3,GZ,1,100,0.549
1845134.000,33990,3,GZ,1,100,0.397
1845174.000,34008,2,GZ,1,100,2.197
1845214.000,34008,2,GZ,1,100,0.610
1845254.000,34026,3,GZ,1,100,0.000
1845294.000,34026,3,GZ,1,100,-0.458
1845334.000,34026,3,GZ,1,100,1.038
1845374.000,34042,2,GZ,1,100,0.580
1845414.000,34042,2,GZ,1,100,0.092
1845454.000,34057,3,GZ,1,100,1.129
1845494.000,34057,3,GZ,1,100,0.488
1845534.000,34057,3,GZ,1,100,-0.732
1845574.000,34074,2,GZ,1,100,0.977
1845614.000,34074,2,GZ,1,100,0.824
1845654.000,34091,3,GZ,1,100,-0.488
1845694.000,34091,3,GZ,1,100,0.702
1845734.000,34091,3,GZ,1,100,1.312
1845774.000,34107,2,GZ,1,100,-0.610
1845814.000,34107,2,GZ,1,100,0.519
1845854.000,34122,3,GZ,1,100,0.366
1845894.000,34122,3,GZ,1,100,0.732
1845934.000,34122,3,GZ,1,100,0.732
1845974.000,34139,3,GZ,1,100,-0.214
1846014.000,34139,3,GZ,1,100,1.282
1846054.000,34139,3,GZ,1,100,0.549
1846094.000,34158,2,GZ,1,100,0.244
1846134.000,34158,2,GZ,1,100,0.946
1846174.000,34174,3,GZ,1,100,0.366
1846214.000,34174,3,GZ,1,100,1.068
1846254.000,34174,3,GZ,1,100,-0.885
1846294.000,34190,2,GZ,1,100,-3.357
1846334.000,34190,2,GZ,1,100,-3.937
1846369.667,34208,3,GZ,1,100,-0.397
1846405.333,34208,3,GZ,1,100,2.258
1846441.000,34208,3,GZ,1,100,2.808
1846481.000,34225,2,GZ,1,100,-1.251
1846521.000,34225,2,GZ,1,100,-1.648
1846561.000,34242,3,GZ,1,100,1.312
1846601.000,34242,3,GZ,1,100,0.580
1846641.000,34242,3,GZ,1,100,-2.533
1846685.000,34264,3,GZ,1,100,0.153
1846729.000,34264,3,GZ,1,100,-1.007
1846773.000,34264,3,GZ,1,100,-0.153
1846813.333,34280,3,GZ,1,100,-0.793
1846853.667,34280,3,GZ,1,100,-2.106
1846894.000,34280,3,GZ,1,100,-0.732
1846934.000,34298,2,GZ,1,100,-0.153
1846974.000,34298,2,GZ,1,100,2.594
1847013.667,34314,3,GZ,1,100,1.465
1847053.333,34314,3,GZ,1,100,1.495
1847093.000,34314,3,GZ,1,100,0.793
1847133.333,34331,3,GZ,1,100,-0.214
1847173.667,34331,3,GZ,1,100,0.824
1847214.000,34331,3,GZ,1,100,2.655
1847254.000,34348,2,GZ,1,100,1.068
1847294.000,34348,2,GZ,1,100,0.824
1847334.000,34363,3,GZ,1,100,1.862
1847374.000,34363,3,GZ,1,100,1.160
1847414.000,34363,3,GZ,1,100,0.000
1847454.000,34379,2,GZ,1,100,-0.031
1847494.000,34379,2,GZ,1,100,1.068
1847534.000,34396,3,GZ,1,100,1.587
1847574.000,34396,3,GZ,1,100,1.404
1847614.000,34396,3,GZ,1,100,0.793
1847653.500,34413,2,GZ,1,100,0.427
1847693.000,34413,2,GZ,1,100,0.580
1847733.333,34428,3,GZ,1,100,-0.885
1847773.667,34428,3,GZ,1,100,-3.326
1847814.000,34428,3,GZ,1,100,-3.601
