EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MX
1839561.000,33092,1,MX,1,100,163
1839601.000,33107,2,MX,1,100,162
1839641.000,33107,2,MX,1,100,162
1839681.000,33124,3,MX,1,100,164
1839721.000,33124,3,MX,1,100,162
1839761.000,33124,3,MX,1,100,163
1839801.000,33142,3,MX,1,100,163
1839841.000,33142,3,MX,1,100,162
1839881.000,33142,3,MX,1,100,162
1839921.000,33160,2,MX,1,100,162
1839961.000,33160,2,MX,1,100,163
1840001.000,33174,3,MX,1,100,162
1840041.000,33174,3,MX,1,100,162
1840081.000,33174,3,MX,1,100,162
1840121.000,33191,2,MX,1,100,162
1840161.000,33191,2,MX,1,100,162
1840201.000,33207,3,MX,1,100,163
1840241.000,33207,3,MX,1,100,163
1840281.000,33207,3,MX,1,100,162
1840321.000,33225,2,MX,1,100,162
1840361.000,33225,2,MX,1,100,162
1840401.000,33239,3,MX,1,100,162
1840441.000,33239,3,MX,1,100,162
1840481.000,33239,3,MX,1,100,161
1840521.000,33256,2,MX,1,100,162
1840561.000,33256,2,MX,1,100,161
1840601.000,33273,3,MX,1,100,162
1840641.000,33273,3,MX,1,100,161
1840681.000,33273,3,MX,1,100,162
1840721.000,33290,2,MX,1,100,161
1840761.000,33290,2,MX,1,100,162
1840801.000,33304,3,MX,1,100,162
1840841.000,33304,3,MX,1,100,161
1840881.000,33304,3,MX,1,100,161
1840921.000,33322,2,MX,1,100,161
1840961.000,33322,2,MX,1,100,162
1841001.000,33340,3,MX,1,100,161
1841041.000,33340,3,MX,1,100,161
1841081.000,33340,3,MX,1,100,162
1841121.000,33357,3,MX,1,100,162
1841161.000,33357,3,MX,1,100,161
1841201.000,33357,3,MX,1,100,161
1841241.000,33374,2,MX,1,100,161
1841281.000,33374,2,MX,1,100,162
1841321.000,33391,3,MX,1,100,162
1841361.000,33391,3,MX,1,100,161
1841401.000,33391,3,MX,1,100,162
1841441.000,33407,2,MX,1,100,162
1841481.000,33407,2,MX,1,100,161
1841521.000,33430,5,MX,1,100,162
1841561.000,33430,5,MX,1,100,162
1841601.000,33430,5,MX,1,100,161
1841641.000,33430,5,MX,1,100,162
1841681.000,33430,5,MX,1,100,162
1841721.000,33446,2,MX,1,100,161
1841761.000,33446,2,MX,1,100,161
1841801.000,33463,3,MX,1,100,162
1841841.000,33463,3,MX,1,100,161
1841881.000,33463,3,MX,1,100,161
1841921.000,33480,2,MX,1,100,161
1841961.000,33480,2,MX,1,100,161
1842001.000,33495,3,MX,1,100,161
1842041.000,33495,3,MX,1,100,161
1842081.000,33495,3,MX,1,100,162
1842121.000,33511,2,MX,1,100,161
1842161.000,33511,2,MX,1,100,162
1842201.000,33528,3,MX,1,100,162
1842241.000,33528,3,MX,1,100,161
1842281.000,33528,3,MX,1,100,162
1842321.000,33545,2,MX,1,100,161
1842361.000,33545,2,MX,1,100,161
1842401.000,33560,3,MX,1,100,162
1842441.000,33560,3,MX,1,100,161
1842481.000,33560,3,MX,1,100,161
1842521.000,33578,2,MX,1,100,161
1842561.000,33578,2,MX,1,100,162
1842601.000,33596,3,MX,1,100,162
1842641.000,33596,3,MX,1,100,161
1842681.000,33596,3,MX,1,100,161
1842721.000,33612,3,MX,1,100,161
1842761.000,33612,3,MX,1,100,162
1842801.000,33612,3,MX,1,100,162
1842841.000,33628,2,MX,1,100,161
1842881.000,33628,2,MX,1,100,162
1842921.000,33644,3,MX,1,100,161
1842961.000,33644,3,MX,1,100,162
1843001.000,33644,3,MX,1,100,162
1843041.000,33661,2,MX,1,100,162
1843081.000,33661,2,MX,1,100,162
1843121.000,33677,3,MX,1,100,162
1843161.000,33677,3,MX,1,100,161
1843201.000,33677,3,MX,1,100,162
1843241.000,33695,2,MX,1,100,162
1843281.000,33695,2,MX,1,100,162
1843321.000,33709,3,MX,1,100,162
1843361.000,33709,3,MX,1,100,161
1843401.000,33709,3,MX,1,100,161
1843441.000,33726,2,MX,1,100,161
1843481.000,33726,2,MX,1,100,161
1843521.000,33742,3,MX,1,100,161
1843561.000,33742,3,MX,1,100,162
1843601.000,33742,3,MX,1,100,161
1843640.500,33760,2,MX,1,100,161
1843680.000,33760,2,MX,1,100,162
1843720.000,33774,3,MX,1,100,161
1843760.000,33774,3,MX,1,100,162
1843800.000,33774,3,MX,1,100,161
1843840.333,33791,3,MX,1,100,162
1843880.667,33791,3,MX,1,100,161
1843921.000,33791,3,MX,1,100,161
1843961.000,33808,2,MX,1,100,161
1844001.000,33808,2,MX,1,100,161
1844041.000,33825,3,MX,1,100,161
1844081.000,33825,3,MX,1,100,161
1844121.000,33825,3,MX,1,100,162
1844161.000,33839,2,MX,1,100,161
1844201.000,33839,2,MX,1,100,161
1844241.000,33859,2,MX,1,100,161
