EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MY
1839561.000,33093,1,MY,1,100,79
1839601.000,33108,2,MY,1,100,80
1839641.000,33108,2,MY,1,100,79
1839681.000,33125,3,MY,1,100,79
1839721.000,33125,3,MY,1,100,80
1839761.000,33125,3,MY,1,100,80
1839801.000,33143,3,MY,1,100,78
1839841.000,33143,3,MY,1,100,78
1839881.000,33143,3,MY,1,100,78
1839921.000,33161,2,MY,1,100,78
1839961.000,33161,2,MY,1,100,77
1840001.000,33175,3,MY,1,100,78
1840041.000,33175,3,MY,1,100,78
1840081.000,33175,3,MY,1,100,79
1840121.000,33192,2,MY,1,100,78
1840161.000,33192,2,MY,1,100,78
1840201.000,33208,3,MY,1,100,78
1840241.000,33208,3,MY,1,100,78
1840281.000,33208,3,MY,1,100,78
1840321.000,33226,2,MY,1,100,78
1840361.000,33226,2,MY,1,100,79
1840401.000,33240,3,MY,1,100,78
1840441.000,33240,3,MY,1,100,78
1840481.000,33240,3,MY,1,100,77
1840521.000,33257,2,MY,1,100,78
1840561.000,33257,2,MY,1,100,78
1840601.000,33274,3,MY,1,100,77
1840641.000,33274,3,MY,1,100,78
1840681.000,33274,3,MY,1,100,78
1840721.000,33291,2,MY,1,100,77
1840761.000,33291,2,MY,1,100,78
1840801.000,33305,3,MY,1,100,78
1840841.000,33305,3,MY,1,100,78
1840881.000,33305,3,MY,1,100,77
1840921.000,33323,2,MY,1,100,78
1840961.000,33323,2,MY,1,100,77
1841001.000,33341,3,MY,1,100,78
1841041.000,33341,3,MY,1,100,78
1841081.000,33341,3,MY,1,100,79
1841121.000,33358,3,MY,1,100,77
1841161.000,33358,3,MY,1,100,78
1841201.000,33358,3,MY,1,100,77
1841241.000,33375,2,MY,1,100,78
1841281.000,33375,2,MY,1,100,78
1841321.000,33392,3,MY,1,100,78
1841361.000,33392,3,MY,1,100,77
1841401.000,33392,3,MY,1,100,78
1841441.000,33408,2,MY,1,100,77
1841481.000,33408,2,MY,1,100,77
1841521.000,33431,5,MY,1,100,78
1841561.000,33431,5,MY,1,100,78
1841601.000,33431,5,MY,1,100,80
1841641.000,33431,5,MY,1,100,79
1841681.000,33431,5,MY,1,100,79
1841721.000,33447,2,MY,1,100,78
1841761.000,33447,2,MY,1,100,78
1841801.000,33464,3,MY,1,100,78
1841841.000,33464,3,MY,1,100,78
1841881.000,33464,3,MY,1,100,78
1841921.000,33481,2,MY,1,100,77
1841961.000,33481,2,MY,1,100,78
1842001.000,33496,3,MY,1,100,78
