EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MZ
1839561.000,33094,1,MZ,1,100,-16
1839601.000,33109,2,MZ,1,100,-17
1839641.000,33109,2,MZ,1,100,-18
1839681.000,33126,3,MZ,1,100,-16
1839721.000,33126,3,MZ,1,100,-17
1839761.000,33126,3,MZ,1,100,-17
1839801.000,33144,3,MZ,1,100,-19
1839841.000,33144,3,MZ,1,100,-18
1839881.000,33144,3,MZ,1,100,-18
1839921.000,33162,2,MZ,1,100,-19
1839961.000,33162,2,MZ,1,100,-17
1840001.000,33176,3,MZ,1,100,-17
1840041.000,33176,3,MZ,1,100,-17
1840081.000,33176,3,MZ,1,100,-18
1840121.000,33193,2,MZ,1,100,-18
1840161.000,33193,2,MZ,1,100,-17
1840201.000,33209,3,MZ,1,100,-17
1840241.000,33209,3,MZ,1,100,-17
1840281.000,33209,3,MZ,1,100,-19
1840321.000,33227,2,MZ,1,100,-17
1840361.000,33227,2,MZ,1,100,-18
1840401.000,33241,3,MZ,1,100,-18
1840441.000,33241,3,MZ,1,100,-18
1840481.000,33241,3,MZ,1,100,-19
1840521.000,33258,2,MZ,1,100,-19
1840561.000,33258,2,MZ,1,100,-18
1840601.000,33275,3,MZ,1,100,-17
1840641.000,33275,3,MZ,1,100,-17
1840681.000,33275,3,MZ,1,100,-17
1840721.000,33292,2,MZ,1,100,-18
1840761.000,33292,2,MZ,1,100,-18
1840801.000,33306,3,MZ,1,100,-17
1840841.000,33306,3,MZ,1,100,-18
1840881.000,33306,3,MZ,1,100,-19
1840921.000,33324,2,MZ,1,100,-17
1840961.000,33324,2,MZ,1,100,-18
1841001.000,33342,3,MZ,1,100,-19
1841041.000,33342,3,MZ,1,100,-18
1841081.000,33342,3,MZ,1,100,-17
1841121.000,33359,3,MZ,1,100,-19
1841161.000,33359,3,MZ,1,100,-18
1841201.000,33359,3,MZ,1,100,-17
1841241.000,33376,2,MZ,1,100,-17
1841281.000,33376,2,MZ,1,100,-17
1841321.000,33393,3,MZ,1,100,-17
