EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1839668.000,33098,3,PG,1,100,9310
1839668.000,33098,3,PG,1,100,9313
1839668.000,33098,3,PG,1,100,9315
1839708.000,33113,2,PG,1,100,9311
1839748.000,33113,2,PG,1,100,9304
1839788.000,33131,3,PG,1,100,9317
1839828.000,33131,3,PG,1,100,9306
1839868.000,33131,3,PG,1,100,9321
1839908.000,33149,2,PG,1,100,9309
1839948.000,33149,2,PG,1,100,9305
1839988.000,33165,3,PG,1,100,9323
1840028.000,33165,3,PG,1,100,9310
1840068.000,33165,3,PG,1,100,9312
1840108.000,33180,3,PG,1,100,9315
1840148.000,33180,3,PG,1,100,9306
1840188.000,33180,3,PG,1,100,9319
1840228.000,33196,2,PG,1,100,9317
1840268.000,33196,2,PG,1,100,9313
1840308.000,33214,3,PG,1,100,9306
1840348.000,33214,3,PG,1,100,9323
1840388.000,33214,3,PG,1,100,9330
1840428.000,33230,2,PG,1,100,9317
1840468.000,33230,2,PG,1,100,9325
1840508.000,33245,3,PG,1,100,9329
1840548.000,33245,3,PG,1,100,9322
1840588.000,33245,3,PG,1,100,9317
1840628.000,33262,2,PG,1,100,9314
1840668.000,33262,2,PG,1,100,9307
1840708.000,33279,3,PG,1,100,9310
1840748.000,33279,3,PG,1,100,9304
1840788.000,33279,3,PG,1,100,9297
1840828.000,33295,2,PG,1,100,9309
1840868.000,33295,2,PG,1,100,9299
1840908.000,33311,3,PG,1,100,9308
1840948.000,33311,3,PG,1,100,9322
1840988.000,33311,3,PG,1,100,9314
1841028.000,33329,2,PG,1,100,9304
1841068.000,33329,2,PG,1,100,9314
1841108.000,33346,3,PG,1,100,9323
1841148.000,33346,3,PG,1,100,9331
1841188.000,33346,3,PG,1,100,9299
1841228.000,33363,3,PG,1,100,9311
1841268.000,33363,3,PG,1,100,9334
1841308.000,33363,3,PG,1,100,9317
1841348.000,33382,2,PG,1,100,9331
1841388.000,33382,2,PG,1,100,9344
1841428.000,33396,3,PG,1,100,9337
1841468.000,33396,3,PG,1,100,9339
1841508.000,33396,3,PG,1,100,9344
