EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1839668.000,33096,3,PI,1,100,169413
1839668.000,33096,3,PI,1,100,169428
1839668.000,33096,3,PI,1,100,169429
1839708.000,33111,2,PI,1,100,169449
1839748.000,33111,2,PI,1,100,169471
1839788.000,33129,3,PI,1,100,169476
1839828.000,33129,3,PI,1,100,169474
1839868.000,33129,3,PI,1,100,169492
1839908.000,33147,2,PI,1,100,169497
1839948.000,33147,2,PI,1,100,169515
1839988.000,33163,3,PI,1,100,169530
1840028.000,33163,3,PI,1,100,169534
1840068.000,33163,3,PI,1,100,169543
1840108.000,33178,3,PI,1,100,169550
1840148.000,33178,3,PI,1,100,169556
1840188.000,33178,3,PI,1,100,169568
1840228.000,33194,2,PI,1,100,169563
1840268.000,33194,2,PI,1,100,169567
1840308.000,33212,3,PI,1,100,169564
1840348.000,33212,3,PI,1,100,169574
1840388.000,33212,3,PI,1,100,169583
1840428.000,33228,2,PI,1,100,169630
1840468.000,33228,2,PI,1,100,169648
1840508.000,33243,3,PI,1,100,169660
1840548.000,33243,3,PI,1,100,169646
1840588.000,33243,3,PI,1,100,169627
1840628.000,33260,2,PI,1,100,169621
1840668.000,33260,2,PI,1,100,169595
1840708.000,33277,3,PI,1,100,169588
1840748.000,33277,3,PI,1,100,169586
1840788.000,33277,3,PI,1,100,169563
1840828.000,33293,2,PI,1,100,169571
1840868.000,33293,2,PI,1,100,169570
1840908.000,33309,3,PI,1,100,169575
1840948.000,33309,3,PI,1,100,169574
1840988.000,33309,3,PI,1,100,169582
1841028.000,33327,2,PI,1,100,169609
1841068.000,33327,2,PI,1,100,169614
1841108.000,33344,3,PI,1,100,169610
1841148.000,33344,3,PI,1,100,169616
1841188.000,33344,3,PI,1,100,169651
1841228.000,33361,3,PI,1,100,169668
1841268.000,33361,3,PI,1,100,169652
1841308.000,33361,3,PI,1,100,169652
1841348.000,33380,2,PI,1,100,169647
1841388.000,33380,2,PI,1,100,169654
1841428.000,33394,3,PI,1,100,169681
1841468.000,33394,3,PI,1,100,169691
1841508.000,33394,3,PI,1,100,169681
1841548.000,33417,4,PI,1,100,169686
1841588.000,33417,4,PI,1,100,169657
1841628.000,33417,4,PI,1,100,169631
1841668.000,33417,4,PI,1,100,169634
1841708.000,33433,3,PI,1,100,169631
1841748.000,33433,3,PI,1,100,169613
1841788.000,33433,3,PI,1,100,169604
1841828.000,33450,2,PI,1,100,169591
1841868.000,33450,2,PI,1,100,169608
1841908.000,33467,3,PI,1,100,169580
1841948.000,33467,3,PI,1,100,169596
1841988.000,33467,3,PI,1,100,169587
1842028.000,33484,2,PI,1,100,169580
