EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1839668.000,33097,3,PR,1,100,137589
1839668.000,33097,3,PR,1,100,137596
1839668.000,33097,3,PR,1,100,137607
1839708.000,33112,2,PR,1,100,137634
1839748.000,33112,2,PR,1,100,137659
1839788.000,33130,3,PR,1,100,137660
1839828.000,33130,3,PR,1,100,137672
1839868.000,33130,3,PR,1,100,137682
1839908.000,33148,2,PR,1,100,137702
1839948.000,33148,2,PR,1,100,137712
1839988.000,33164,3,PR,1,100,137731
1840028.000,33164,3,PR,1,100,137746
1840068.000,33164,3,PR,1,100,137752
1840108.000,33179,3,PR,1,100,137775
1840148.000,33179,3,PR,1,100,137770
1840188.000,33179,3,PR,1,100,137786
1840228.000,33195,2,PR,1,100,137772
1840268.000,33195,2,PR,1,100,137769
1840308.000,33213,3,PR,1,100,137794
1840348.000,33213,3,PR,1,100,137786
1840388.000,33213,3,PR,1,100,137805
1840428.000,33229,2,PR,1,100,137837
1840468.000,33229,2,PR,1,100,137851
1840508.000,33244,3,PR,1,100,137865
1840548.000,33244,3,PR,1,100,137873
1840588.000,33244,3,PR,1,100,137877
1840628.000,33261,2,PR,1,100,137865
1840668.000,33261,2,PR,1,100,137871
1840708.000,33278,3,PR,1,100,137856
1840748.000,33278,3,PR,1,100,137858
1840788.000,33278,3,PR,1,100,137866
1840828.000,33294,2,PR,1,100,137864
1840868.000,33294,2,PR,1,100,137858
1840908.000,33310,3,PR,1,100,137875
1840948.000,33310,3,PR,1,100,137891
1840988.000,33310,3,PR,1,100,137914
1841028.000,33328,2,PR,1,100,137912
1841068.000,33328,2,PR,1,100,137932
1841108.000,33345,3,PR,1,100,137941
1841148.000,33345,3,PR,1,100,137944
1841188.000,33345,3,PR,1,100,137963
1841228.000,33362,3,PR,1,100,137979
1841268.000,33362,3,PR,1,100,137990
1841308.000,33362,3,PR,1,100,137999
1841348.000,33381,2,PR,1,100,137988
1841388.000,33381,2,PR,1,100,138007
1841428.000,33395,3,PR,1,100,138014
1841468.000,33395,3,PR,1,100,138019
1841508.000,33395,3,PR,1,100,138043
1841548.000,33418,4,PR,1,100,138046
1841588.000,33418,4,PR,1,100,138038
1841628.000,33418,4,PR,1,100,138035
1841668.000,33418,4,PR,1,100,138034
1841708.000,33434,3,PR,1,100,138034
1841748.000,33434,3,PR,1,100,138055
1841788.000,33434,3,PR,1,100,138054
1841828.000,33451,2,PR,1,100,138050
1841868.000,33451,2,PR,1,100,138066
1841908.000,33468,3,PR,1,100,138058
1841948.000,33468,3,PR,1,100,138070
1841988.000,33468,3,PR,1,100,138077
1842028.000,33485,2,PR,1,100,138081
1842068.000,33485,2,PR,1,100,138078
1842108.000,33499,3,PR,1,100,138087
1842148.000,33499,3,PR,1,100,138087
1842188.000,33499,3,PR,1,100,138088
1842228.000,33516,2,PR,1,100,138084
1842268.000,33516,2,PR,1,100,138086
1842308.000,33533,3,PR,1,100,138090
1842348.000,33533,3,PR,1,100,138085
1842388.000,33533,3,PR,1,100,138108
1842428.000,33550,2,PR,1,100,138112
1842468.000,33550,2,PR,1,100,138104
1842508.000,33566,3,PR,1,100,138114
1842548.000,33566,3,PR,1,100,138112
1842588.000,33566,3,PR,1,100,138096
1842628.000,33584,2,PR,1,100,138075
1842668.000,33584,2,PR,1,100,138082
1842708.000,33600,3,PR,1,100,138073
1842748.000,33600,3,PR,1,100,138060
1842788.000,33600,3,PR,1,100,138064
1842828.000,33617,2,PR,1,100,138056
1842868.000,33617,2,PR,1,100,138057
1842908.000,33633,3,PR,1,100,138071
1842948.000,33633,3,PR,1,100,138077
1842988.000,33633,3,PR,1,100,138075
1843028.000,33649,2,PR,1,100,138080
1843068.000,33649,2,PR,1,100,138087
1843108.000,33665,3,PR,1,100,138082
1843148.000,33665,3,PR,1,100,138101
1843188.000,33665,3,PR,1,100,138097
1843228.000,33683,3,PR,1,100,138099
1843268.000,33683,3,PR,1,100,138121
1843308.000,33683,3,PR,1,100,138120
1843348.000,33699,2,PR,1,100,138149
1843388.000,33699,2,PR,1,100,138165
1843428.000,33714,3,PR,1,100,138158
1843468.000,33714,3,PR,1,100,138184
1843508.000,33714,3,PR,1,100,138190
1843548.000,33730,2,PR,1,100,138206
1843588.000,33730,2,PR,1,100,138215
1843628.000,33748,3,PR,1,100,138212
1843668.000,33748,3,PR,1,100,138207
1843708.000,33748,3,PR,1,100,138208
1843748.000,33764,2,PR,1,100,138180
1843788.000,33764,2,PR,1,100,138202
1843828.000,33779,3,PR,1,100,138188
1843868.000,33779,3,PR,1,100,138206
1843908.000,33779,3,PR,1,100,138204
1843948.000,33796,2,PR,1,100,138204
1843988.000,33796,2,PR,1,100,138223
1844028.000,33813,3,PR,1,100,138228
1844068.000,33813,3,PR,1,100,138227
1844108.000,33813,3,PR,1,100,138267
1844148.000,33829,2,PR,1,100,138251
1844188.000,33829,2,PR,1,100,138270
1844228.000,33847,3,PR,1,100,138282
1844268.000,33847,3,PR,1,100,138294
1844308.000,33847,3,PR,1,100,138279
1844348.000,33863,3,PR,1,100,138309
1844388.000,33863,3,PR,1,100,138322
1844428.000,33863,3,PR,1,100,138333
1844468.000,33882,2,PR,1,100,138343
1844508.000,33882,2,PR,1,100,138353
1844548.000,33898,3,PR,1,100,138345
1844588.000,33898,3,PR,1,100,138352
1844628.000,33898,3,PR,1,100,138367
1844668.000,33914,2,PR,1,100,138353
1844708.000,33914,2,PR,1,100,138357
1844748.000,33930,3,PR,1,100,138375
