EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1841576.000,33412,2,RD,1,100,TL
1841576.000,33412,2,RD,1,100,TU
1844138.500,34248,2,RD,1,100,TL
1846701.000,34248,2,RD,1,100,TU
1849262.500,35073,2,RD,1,100,TL
1851824.000,35073,2,RD,1,100,TU
1854388.500,35898,2,RD,1,100,TL
1856953.000,35898,2,RD,1,100,TU
1859513.000,36722,2,RD,1,100,TL
1862073.000,36722,2,RD,1,100,TU
1864631.500,37531,2,RD,1,100,TL
1867190.000,37531,2,RD,1,100,TU
1869742.500,38340,2,RD,1,100,TL
1872295.000,38340,2,RD,1,100,TU
1874848.500,39149,2,RD,1,100,TL
1877402.000,39149,2,RD,1,100,TU
1880008.000,39927,2,RD,1,100,TL
1882614.000,39927,2,RD,1,100,TU
1885173.500,40751,2,RD,1,100,TL
1887733.000,40751,2,RD,1,100,TU
1890292.000,41574,2,RD,1,100,TL
1892851.000,41574,2,RD,1,100,TU
1895407.500,42397,2,RD,1,100,TL
1897964.000,42397,2,RD,1,100,TU
1900517.500,43207,2,RD,1,100,TL
1903071.000,43207,2,RD,1,100,TU
1905625.000,44016,2,RD,1,100,TL
1908179.000,44016,2,RD,1,100,TU
1910734.500,44825,2,RD,1,100,TL
1913290.000,44825,2,RD,1,100,TU
