EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1839640.000,33095,1,SF,1,100,4.5398
1839974.000,33146,1,SF,1,100,4.4872
1840374.000,33211,1,SF,1,100,4.4353
1840640.000,33259,1,SF,1,100,4.3840
1840973.000,33308,1,SF,1,100,4.3333
1841307.000,33360,1,SF,1,100,4.2832
1841640.000,33416,1,SF,1,100,4.2336
1841973.000,33466,1,SF,1,100,4.1847
1842373.000,33531,1,SF,1,100,4.1363
1842640.000,33582,1,SF,1,100,4.0884
1842973.000,33631,1,SF,1,100,4.0411
1843307.000,33681,1,SF,1,100,3.9944
1843707.000,33746,1,SF,1,100,3.9482
1843973.000,33794,1,SF,1,100,3.9025
1844306.000,33845,1,SF,1,100,3.8573
1844706.000,33912,1,SF,1,100,3.8127
1844973.000,33962,1,SF,1,100,3.7686
1845307.000,34013,1,SF,1,100,3.7250
1845640.000,34061,1,SF,1,100,3.6819
1846040.000,34126,1,SF,1,100,3.6393
1846306.000,34179,1,SF,1,100,3.5972
1846640.000,34229,1,SF,1,100,3.5556
1846973.000,34287,1,SF,1,100,3.5145
1847306.000,34335,1,SF,1,100,3.4738
1847706.000,34400,1,SF,1,100,3.4336
1847973.000,34449,1,SF,1,100,3.3939
1848306.000,34497,1,SF,1,100,3.3547
1848706.000,34563,1,SF,1,100,3.3159
1849039.000,34613,1,SF,1,100,3.2775
1849306.000,34661,1,SF,1,100,3.2396
1849639.000,34710,1,SF,1,100,3.2021
1850039.000,34775,1,SF,1,100,3.1651
1850306.000,34825,1,SF,1,100,3.1285
1850639.000,34874,1,SF,1,100,3.0923
1850972.000,34922,1,SF,1,100,3.0565
1851372.000,34989,1,SF,1,100,3.0211
1851639.000,35040,1,SF,1,100,2.9862
1851972.000,35093,1,SF,1,100,2.9516
1852306.000,35143,1,SF,1,100,2.9175
1852639.000,35192,1,SF,1,100,2.8837
1853039.000,35257,1,SF,1,100,2.8504
1853306.000,35306,1,SF,1,100,2.8174
1853639.000,35354,1,SF,1,100,2.7848
1854039.000,35419,1,SF,1,100,2.7526
1854306.000,35470,1,SF,1,100,2.7208
1854639.000,35518,1,SF,1,100,2.6893
1854972.000,35567,1,SF,1,100,2.6582
1855372.000,35632,1,SF,1,100,2.6274
1855639.000,35682,1,SF,1,100,2.5970
1855972.000,35731,1,SF,1,100,2.5670
1856372.000,35798,1,SF,1,100,2.5373
1856639.000,35846,1,SF,1,100,2.5079
1857038.000,35902,1,SF,1,100,2.4789
1857305.000,35950,1,SF,1,100,2.4503
1857638.000,36000,1,SF,1,100,2.4219
1857972.000,36049,1,SF,1,100,2.3939
1858372.000,36114,1,SF,1,100,2.3662
1858638.000,36163,1,SF,1,100,2.3388
1858972.000,36211,1,SF,1,100,2.3118
1859372.000,36276,1,SF,1,100,2.2850
1859638.000,36327,1,SF,1,100,2.2586
1859972.000,36375,1,SF,1,100,2.2325
1860305.000,36424,1,SF,1,100,2.2066
1860705.000,36489,1,SF,1,100,2.1811
1860971.000,36539,1,SF,1,100,2.1559
1861305.000,36588,1,SF,1,100,2.1309
1861705.000,36655,1,SF,1,100,2.1063
1862038.000,36703,1,SF,1,100,2.0819
1862371.000,36757,1,SF,1,100,2.0578
1862638.000,36805,1,SF,1,100,2.0340
1862971.000,36854,1,SF,1,100,2.0105
1863371.000,36919,1,SF,1,100,1.9873
1863638.000,36969,1,SF,1,100,1.9643
1863971.000,37018,1,SF,1,100,1.9415
1864304.000,37066,1,SF,1,100,1.9191
1864704.000,37131,1,SF,1,100,1.8969
1864971.000,37182,1,SF,1,100,1.8749
1865304.000,37230,1,SF,1,100,1.8532
1865704.000,37295,1,SF,1,100,1.8318
1865971.000,37344,1,SF,1,100,1.8106
1866304.000,37378,1,SF,1,100,1.7897
1866704.000,37445,1,SF,1,100,1.7690
1866971.000,37495,1,SF,1,100,1.7485
1867371.000,37551,1,SF,1,100,1.7283
1867638.000,37601,1,SF,1,100,1.7083
1867971.000,37650,1,SF,1,100,1.6885
1868304.000,37698,1,SF,1,100,1.6690
1868638.000,37749,1,SF,1,100,1.6497
1869037.000,37814,1,SF,1,100,1.6306
1869304.000,37862,1,SF,1,100,1.6117
1869637.000,37911,1,SF,1,100,1.5931
1870037.000,37976,1,SF,1,100,1.5747
1870304.000,38026,1,SF,1,100,1.5565
1870637.000,38075,1,SF,1,100,1.5384
1870970.000,38123,1,SF,1,100,1.5206
1871370.000,38191,1,SF,1,100,1.5031
1871704.000,38241,1,SF,1,100,1.4857
1871970.000,38289,1,SF,1,100,1.4685
1872370.000,38343,1,SF,1,100,1.4515
1872637.000,38392,1,SF,1,100,1.4347
1873037.000,38442,1,SF,1,100,1.4181
1873304.000,38491,1,SF,1,100,1.4017
1873637.000,38539,1,SF,1,100,1.3855
1874037.000,38604,1,SF,1,100,1.3695
1874304.000,38655,1,SF,1,100,1.3536
1874637.000,38703,1,SF,1,100,1.3380
1875037.000,38768,1,SF,1,100,1.3225
1875370.000,38817,1,SF,1,100,1.3072
1875637.000,38867,1,SF,1,100,1.2921
1875970.000,38916,1,SF,1,100,1.2771
1876303.000,38964,1,SF,1,100,1.2623
1876703.000,39031,1,SF,1,100,1.2477
1876970.000,39082,1,SF,1,100,1.2333
1877303.000,39130,1,SF,1,100,1.2190
1877703.000,39186,1,SF,1,100,1.2049
1878036.000,39234,1,SF,1,100,1.1910
1878303.000,39285,1,SF,1,100,1.1772
1878636.000,39333,1,SF,1,100,1.1636
1879036.000,39398,1,SF,1,100,1.1501
1879303.000,39447,1,SF,1,100,1.1368
1879636.000,39496,1,SF,1,100,1.1237
1879970.000,39546,1,SF,1,100,1.1107
1880370.000,39611,1,SF,1,100,1.0978
1880636.000,39659,1,SF,1,100,1.0851
1880969.000,39709,1,SF,1,100,1.0726
1881303.000,39758,1,SF,1,100,1.0602
1881703.000,39825,1,SF,1,100,1.0479
1882103.000,39874,1,SF,1,100,1.0358
1882436.000,39908,1,SF,1,100,1.0238
1882703.000,39931,1,SF,1,100,1.0120
1882969.000,39981,1,SF,1,100,1.0003
1883303.000,40030,1,SF,1,100,0.9887
1883703.000,40095,1,SF,1,100,0.9773
1884036.000,40143,1,SF,1,100,0.9659
1884302.000,40194,1,SF,1,100,0.9548
1884636.000,40242,1,SF,1,100,0.9437
1885036.000,40307,1,SF,1,100,0.9328
1885302.000,40356,1,SF,1,100,0.9220
1885636.000,40405,1,SF,1,100,0.9114
1886036.000,40470,1,SF,1,100,0.9008
1886369.000,40522,1,SF,1,100,0.8904
1886636.000,40570,1,SF,1,100,0.8801
1886969.000,40619,1,SF,1,100,0.8699
1887369.000,40684,1,SF,1,100,0.8598
1887635.000,40734,1,SF,1,100,0.8499
1888036.000,40785,1,SF,1,100,0.8401
1888302.000,40835,1,SF,1,100,0.8303
1888635.000,40884,1,SF,1,100,0.8207
1889035.000,40949,1,SF,1,100,0.8112
1889302.000,40997,1,SF,1,100,0.8019
1889635.000,41047,1,SF,1,100,0.7926
1889969.000,41096,1,SF,1,100,0.7834
1890369.000,41161,1,SF,1,100,0.7744
1890635.000,41210,1,SF,1,100,0.7654
1890968.000,41258,1,SF,1,100,0.7565
