EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1839567.000,33084,1,T1,1,100,30.320
1839700.000,33116,1,T1,1,100,30.245
1839833.000,33134,1,T1,1,100,30.283
1839967.000,33152,1,T1,1,100,30.158
1840100.000,33183,1,T1,1,100,30.175
1840233.000,33199,1,T1,1,100,30.288
1840367.000,33217,1,T1,1,100,30.373
1840500.000,33248,1,T1,1,100,30.303
1840633.000,33265,1,T1,1,100,30.308
1840767.000,33282,1,T1,1,100,30.346
1840900.000,33314,1,T1,1,100,30.327
1841033.000,33332,1,T1,1,100,30.425
1841167.000,33349,1,T1,1,100,30.290
1841300.000,33366,1,T1,1,100,30.197
1841433.000,33399,1,T1,1,100,30.333
1841567.000,33422,1,T1,1,100,30.286
1841700.000,33438,1,T1,1,100,30.266
1841833.000,33455,1,T1,1,100,30.221
1841967.000,33472,1,T1,1,100,30.202
1842100.000,33503,1,T1,1,100,30.123
1842233.000,33520,1,T1,1,100,30.195
1842367.000,33537,1,T1,1,100,30.226
1842500.000,33570,1,T1,1,100,30.204
1842633.000,33588,1,T1,1,100,30.230
1842767.000,33604,1,T1,1,100,30.348
1842900.000,33621,1,T1,1,100,30.292
1843033.000,33653,1,T1,1,100,30.268
1843167.000,33669,1,T1,1,100,30.152
1843300.000,33687,1,T1,1,100,30.136
1843433.000,33718,1,T1,1,100,30.236
1843566.000,33734,1,T1,1,100,30.244
1843700.000,33752,1,T1,1,100,30.212
1843833.000,33783,1,T1,1,100,30.234
1843966.000,33800,1,T1,1,100,30.349
1844100.000,33817,1,T1,1,100,30.399
1844233.000,33851,1,T1,1,100,30.350
1844366.000,33867,1,T1,1,100,30.329
1844500.000,33886,1,T1,1,100,30.213
1844633.000,33918,1,T1,1,100,30.305
1844766.000,33934,1,T1,1,100,30.345
1844900.000,33951,1,T1,1,100,30.326
1845033.000,33968,1,T1,1,100,30.212
1845166.000,34001,1,T1,1,100,30.234
1845300.000,34019,1,T1,1,100,30.207
1845433.000,34035,1,T1,1,100,30.196
1845566.000,34067,1,T1,1,100,30.227
1845700.000,34084,1,T1,1,100,30.275
1845833.000,34100,1,T1,1,100,30.261
1845966.000,34132,1,T1,1,100,30.326
1846100.000,34151,1,T1,1,100,30.318
1846233.000,34167,1,T1,1,100,30.244
1846366.000,34201,1,T1,1,100,30.247
1846500.000,34218,1,T1,1,100,30.391
1846633.000,34235,1,T1,1,100,30.240
1846766.000,34257,1,T1,1,100,30.175
1846899.000,34273,1,T1,1,100,30.253
1847033.000,34307,1,T1,1,100,30.322
1847166.000,34324,1,T1,1,100,30.246
1847299.000,34341,1,T1,1,100,30.248
1847433.000,34372,1,T1,1,100,30.214
1847566.000,34389,1,T1,1,100,30.199
1847699.000,34406,1,T1,1,100,30.263
1847833.000,34437,1,T1,1,100,30.220
1847966.000,34455,1,T1,1,100,30.273
1848099.000,34471,1,T1,1,100,30.295
1848233.000,34503,1,T1,1,100,30.234
1848366.000,34520,1,T1,1,100,30.243
1848499.000,34536,1,T1,1,100,30.282
1848633.000,34553,1,T1,1,100,30.229
1848766.000,34585,1,T1,1,100,30.170
1848899.000,34601,1,T1,1,100,30.251
1849033.000,34619,1,T1,1,100,30.321
1849166.000,34650,1,T1,1,100,30.316
1849299.000,34667,1,T1,1,100,30.350
1849433.000,34684,1,T1,1,100,30.222
1849566.000,34716,1,T1,1,100,30.309
1849699.000,34732,1,T1,1,100,30.346
1849832.000,34749,1,T1,1,100,30.292
1849966.000,34781,1,T1,1,100,30.268
1850099.000,34797,1,T1,1,100,30.258
1850233.000,34814,1,T1,1,100,30.289
1850366.000,34846,1,T1,1,100,30.444
1850499.000,34862,1,T1,1,100,30.440
1850632.000,34880,1,T1,1,100,30.297
1850766.000,34896,1,T1,1,100,30.270
1850899.000,34928,1,T1,1,100,30.259
1851032.000,34945,1,T1,1,100,30.183
1851166.000,34961,1,T1,1,100,30.327
1851299.000,34995,1,T1,1,100,30.354
1851432.000,35012,1,T1,1,100,30.366
1851566.000,35028,1,T1,1,100,30.300
1851699.000,35060,1,T1,1,100,30.307
1851832.000,35082,1,T1,1,100,30.204
1851966.000,35099,1,T1,1,100,30.301
1852099.000,35116,1,T1,1,100,30.272
1852232.000,35132,1,T1,1,100,30.330
1852366.000,35164,1,T1,1,100,30.391
1852499.000,35181,1,T1,1,100,30.240
1852632.000,35198,1,T1,1,100,30.139
1852766.000,35229,1,T1,1,100,30.167
1852899.000,35246,1,T1,1,100,30.249
1853032.000,35263,1,T1,1,100,30.214
1853166.000,35294,1,T1,1,100,30.270
1853299.000,35312,1,T1,1,100,30.471
1853432.000,35328,1,T1,1,100,30.381
1853565.000,35360,1,T1,1,100,30.307
1853699.000,35377,1,T1,1,100,30.239
1853832.000,35393,1,T1,1,100,30.210
1853965.000,35425,1,T1,1,100,30.304
1854099.000,35442,1,T1,1,100,30.344
1854232.000,35458,1,T1,1,100,30.255
1854365.000,35476,1,T1,1,100,30.394
1854499.000,35507,1,T1,1,100,30.312
1854632.000,35524,1,T1,1,100,30.206
1854765.000,35541,1,T1,1,100,30.266
1854899.000,35573,1,T1,1,100,30.222
1855032.000,35589,1,T1,1,100,30.167
1855165.000,35606,1,T1,1,100,30.214
1855299.000,35638,1,T1,1,100,30.305
1855432.000,35654,1,T1,1,100,30.238
1855565.000,35671,1,T1,1,100,30.316
1855699.000,35703,1,T1,1,100,30.279
1855832.000,35719,1,T1,1,100,30.227
1855965.000,35737,1,T1,1,100,30.205
1856099.000,35768,1,T1,1,100,30.266
1856232.000,35784,1,T1,1,100,30.186
1856365.000,35804,1,T1,1,100,30.187
1856499.000,35820,1,T1,1,100,30.294
1856632.000,35852,1,T1,1,100,30.304
1856765.000,35869,1,T1,1,100,30.309
1856898.000,35885,1,T1,1,100,30.346
1857032.000,35908,1,T1,1,100,30.292
1857165.000,35939,1,T1,1,100,30.339
1857298.000,35956,1,T1,1,100,30.288
1857432.000,35973,1,T1,1,100,30.267
1857565.000,35989,1,T1,1,100,30.257
1857698.000,36021,1,T1,1,100,30.289
1857832.000,36038,1,T1,1,100,30.196
1857965.000,36055,1,T1,1,100,30.227
1858098.000,36086,1,T1,1,100,30.204
1858232.000,36103,1,T1,1,100,30.195
1858365.000,36120,1,T1,1,100,30.191
1858498.000,36151,1,T1,1,100,30.153
1858632.000,36169,1,T1,1,100,30.137
1858765.000,36185,1,T1,1,100,30.166
1858898.000,36217,1,T1,1,100,30.178
1859032.000,36234,1,T1,1,100,30.148
1859165.000,36250,1,T1,1,100,30.170
1859298.000,36282,1,T1,1,100,30.216
1859432.000,36299,1,T1,1,100,30.164
1859565.000,36315,1,T1,1,100,30.248
1859698.000,36333,1,T1,1,100,30.320
1859832.000,36364,1,T1,1,100,30.280
1859965.000,36381,1,T1,1,100,30.299
1860098.000,36398,1,T1,1,100,30.271
1860231.000,36430,1,T1,1,100,30.188
1860365.000,36446,1,T1,1,100,30.223
1860498.000,36463,1,T1,1,100,30.309
1860631.000,36495,1,T1,1,100,30.169
1860765.000,36511,1,T1,1,100,30.215
1860898.000,36528,1,T1,1,100,30.306
1861031.000,36560,1,T1,1,100,30.274
1861165.000,36576,1,T1,1,100,30.296
1861298.000,36594,1,T1,1,100,30.341
1861431.000,36627,1,T1,1,100,30.325
1861565.000,36643,1,T1,1,100,30.389
1861698.000,36661,1,T1,1,100,30.381
1861831.000,36677,1,T1,1,100,30.236
1861965.000,36709,1,T1,1,100,30.173
1862098.000,36729,1,T1,1,100,30.146
1862231.000,36745,1,T1,1,100,30.134
1862365.000,36763,1,T1,1,100,30.200
1862498.000,36794,1,T1,1,100,30.264
1862631.000,36811,1,T1,1,100,30.220
1862765.000,36828,1,T1,1,100,30.273
1862898.000,36860,1,T1,1,100,30.224
1863031.000,36876,1,T1,1,100,30.203
1863164.000,36893,1,T1,1,100,30.194
1863298.000,36925,1,T1,1,100,30.332
1863431.000,36941,1,T1,1,100,30.250
1863564.000,36958,1,T1,1,100,30.321
1863698.000,36975,1,T1,1,100,30.316
1863831.000,37006,1,T1,1,100,30.243
1863964.000,37024,1,T1,1,100,30.247
1864098.000,37040,1,T1,1,100,30.213
1864231.000,37072,1,T1,1,100,30.199
1864364.000,37089,1,T1,1,100,30.192
1864498.000,37105,1,T1,1,100,30.261
1864631.000,37137,1,T1,1,100,30.290
1864764.000,37154,1,T1,1,100,30.267
1864898.000,37170,1,T1,1,100,30.293
1865031.000,37202,1,T1,1,100,30.198
1865164.000,37219,1,T1,1,100,30.298
1865298.000,37236,1,T1,1,100,30.342
1865431.000,37267,1,T1,1,100,30.183
1865564.000,37284,1,T1,1,100,30.328
1865698.000,37301,1,T1,1,100,30.284
1865831.000,37318,1,T1,1,100,30.158
1865964.000,37350,1,T1,1,100,30.139
1866098.000,37366,1,T1,1,100,30.202
1866231.000,37384,1,T1,1,100,30.194
1866364.000,37402,1,T1,1,100,30.261
1866497.000,37419,1,T1,1,100,30.290
1866631.000,37451,1,T1,1,100,30.267
1866764.000,37467,1,T1,1,100,30.293
1866898.000,37484,1,T1,1,100,30.269
1867031.000,37501,1,T1,1,100,30.258
