EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1839582.000,33085,1,TH,1,100,25.251
1839715.000,33117,1,TH,1,100,25.251
1839848.000,33135,1,TH,1,100,25.289
1839982.000,33153,1,TH,1,100,25.289
1840115.000,33184,1,TH,1,100,25.238
1840248.000,33200,1,TH,1,100,25.245
1840382.000,33218,1,TH,1,100,25.271
1840515.000,33249,1,TH,1,100,25.263
1840648.000,33266,1,TH,1,100,25.243
1840782.000,33283,1,TH,1,100,25.250
1840915.000,33315,1,TH,1,100,25.279
1841048.000,33333,1,TH,1,100,25.279
1841182.000,33350,1,TH,1,100,25.271
1841315.000,33367,1,TH,1,100,25.271
1841448.000,33400,1,TH,1,100,25.271
1841582.000,33423,1,TH,1,100,25.271
1841715.000,33439,1,TH,1,100,25.283
1841848.000,33456,1,TH,1,100,25.283
1841981.000,33473,1,TH,1,100,25.255
1842115.000,33504,1,TH,1,100,25.255
1842248.000,33521,1,TH,1,100,25.312
1842381.000,33538,1,TH,1,100,25.312
1842515.000,33571,1,TH,1,100,25.307
1842648.000,33589,1,TH,1,100,25.307
1842781.000,33605,1,TH,1,100,25.253
1842915.000,33637,1,TH,1,100,25.253
1843048.000,33654,1,TH,1,100,25.209
1843181.000,33670,1,TH,1,100,25.209
1843315.000,33688,1,TH,1,100,25.242
1843448.000,33719,1,TH,1,100,25.250
1843581.000,33735,1,TH,1,100,25.278
1843715.000,33753,1,TH,1,100,25.278
1843848.000,33784,1,TH,1,100,25.257
1843981.000,33801,1,TH,1,100,25.257
1844115.000,33818,1,TH,1,100,25.262
1844248.000,33852,1,TH,1,100,25.262
1844381.000,33868,1,TH,1,100,25.285
1844515.000,33887,1,TH,1,100,25.286
1844648.000,33919,1,TH,1,100,25.321
1844781.000,33935,1,TH,1,100,25.321
1844914.000,33952,1,TH,1,100,25.255
1845048.000,33984,1,TH,1,100,25.255
1845181.000,34002,1,TH,1,100,25.247
1845315.000,34020,1,TH,1,100,25.247
1845448.000,34036,1,TH,1,100,25.288
1845581.000,34068,1,TH,1,100,25.288
1845715.000,34085,1,TH,1,100,25.211
1845848.000,34101,1,TH,1,100,25.211
1845981.000,34133,1,TH,1,100,25.301
1846115.000,34152,1,TH,1,100,25.301
1846248.000,34168,1,TH,1,100,25.283
1846381.000,34202,1,TH,1,100,25.283
1846514.000,34219,1,TH,1,100,25.219
1846648.000,34236,1,TH,1,100,25.218
1846781.000,34258,1,TH,1,100,25.313
1846914.000,34274,1,TH,1,100,25.321
1847048.000,34308,1,TH,1,100,25.239
1847181.000,34325,1,TH,1,100,25.239
1847314.000,34342,1,TH,1,100,25.223
1847448.000,34373,1,TH,1,100,25.223
1847581.000,34390,1,TH,1,100,25.231
1847714.000,34407,1,TH,1,100,25.231
1847848.000,34438,1,TH,1,100,25.285
1847981.000,34456,1,TH,1,100,25.285
1848114.000,34472,1,TH,1,100,25.328
1848247.000,34504,1,TH,1,100,25.328
1848381.000,34521,1,TH,1,100,25.246
1848514.000,34537,1,TH,1,100,25.246
1848647.000,34569,1,TH,1,100,25.280
1848781.000,34586,1,TH,1,100,25.280
1848914.000,34602,1,TH,1,100,25.267
1849047.000,34620,1,TH,1,100,25.267
1849181.000,34651,1,TH,1,100,25.203
1849314.000,34668,1,TH,1,100,25.203
1849448.000,34685,1,TH,1,100,25.328
1849581.000,34717,1,TH,1,100,25.328
1849714.000,34733,1,TH,1,100,25.308
1849847.000,34750,1,TH,1,100,25.308
1849981.000,34782,1,TH,1,100,25.290
1850114.000,34798,1,TH,1,100,25.290
1850247.000,34815,1,TH,1,100,25.305
