EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1841572.000,33410,1,TL,1,100,2024-09-18_13-07-49-376199
1841632.000,33413,1,TL,1,100,2024-09-18_13-07-54-466578
1846699.000,34246,1,TL,1,100,2024-09-18_13-07-54-591877
1846728.000,34249,1,TL,1,100,2024-09-18_13-07-59-579029
1851822.000,35071,1,TL,1,100,2024-09-18_13-07-59-704190
1851870.000,35074,1,TL,1,100,2024-09-18_13-08-04-724982
1856950.000,35896,1,TL,1,100,2024-09-18_13-08-04-921514
1857003.000,35899,1,TL,1,100,2024-09-18_13-08-09-853801
1862071.000,36720,1,TL,1,100,2024-09-18_13-08-10-051866
1867182.000,37527,1,TL,1,100,2024-09-18_13-08-15-044838
1867188.000,37529,1,TL,1,100,2024-09-18_13-08-15-071373
1867254.000,37532,1,TL,1,100,2024-09-18_13-08-20-111463
1872293.000,38338,1,TL,1,100,2024-09-18_13-08-20-196224
1872360.000,38341,1,TL,1,100,2024-09-18_13-08-25-178426
1877400.000,39147,1,TL,1,100,2024-09-18_13-08-25-301791
1877425.000,39150,1,TL,1,100,2024-09-18_13-08-30-279340
1882608.000,39925,1,TL,1,100,2024-09-18_13-08-30-404097
1882683.000,39928,1,TL,1,100,2024-09-18_13-08-35-543519
1887727.000,40749,1,TL,1,100,2024-09-18_13-08-35-623195
1887837.000,40752,1,TL,1,100,2024-09-18_13-08-40-694580
1892846.000,41572,1,TL,1,100,2024-09-18_13-08-40-756073
1892865.000,41575,1,TL,1,100,2024-09-18_13-08-45-727570
1897962.000,42395,1,TL,1,100,2024-09-18_13-08-45-859721
1897979.000,42398,1,TL,1,100,2024-09-18_13-08-50-841951
1903069.000,43205,1,TL,1,100,2024-09-18_13-08-51-000823
1903170.000,43208,1,TL,1,100,2024-09-18_13-08-56-022074
1908177.000,44014,1,TL,1,100,2024-09-18_13-08-56-080075
1908212.000,44017,1,TL,1,100,2024-09-18_13-09-01-070425
1913288.000,44823,1,TL,1,100,2024-09-18_13-09-01-217152
