RD,TS_received,TS_sent,AK,RoundTrip,
1841576,1841632,2024-09-18_13-07-54-466578,1841633,56,
1846701,1846728,2024-09-18_13-07-59-579029,1846729,27,
1851824,1851870,2024-09-18_13-08-04-724982,1851871,46,
1856953,1857003,2024-09-18_13-08-09-853801,1857004,50,
1862073,1867182,2024-09-18_13-08-15-044838,1867186,5109,
1867190,1867254,2024-09-18_13-08-20-111463,1867255,64,
1872295,1872360,2024-09-18_13-08-25-178426,1872361,65,
1877402,1877425,2024-09-18_13-08-30-279340,1877426,23,
1882614,1882683,2024-09-18_13-08-35-543519,1882684,69,
1887733,1887837,2024-09-18_13-08-40-694580,1892845,104,
1892851,1892865,2024-09-18_13-08-45-727570,1892866,14,
1897964,1897979,2024-09-18_13-08-50-841951,1897984,15,
1903071,1903170,2024-09-18_13-08-56-022074,1903171,99,
1908179,1908212,2024-09-18_13-09-01-070425,1908214,33,
1913290,
