LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
0.000000,0.000000,1726701766.617593,419395.000,594,2,EA,1,100,1.084855
0.000000,0.000000,1726701766.617593,419395.000,594,2,EA,1,100,1.084685
0.000000,0.000000,1726701766.683594,419461.000,612,1,EA,1,100,1.084685
0.000000,0.000000,1726701766.750594,419528.000,628,2,EA,1,100,1.084175
0.000000,0.000000,1726701766.817595,419595.000,628,2,EA,1,100,1.084005
0.000000,0.000000,1726701766.883596,419661.000,645,1,EA,1,100,1.084345
0.000000,0.000000,1726701766.950597,419728.000,662,2,EA,1,100,1.083835
0.000000,0.000000,1726701767.017598,419795.000,662,2,EA,1,100,1.083835
0.000000,0.000000,1726701767.083599,419861.000,679,1,EA,1,100,1.084005
0.000000,0.000000,1726701767.150600,419928.000,693,2,EA,1,100,1.083835
0.000000,0.000000,1726701767.217601,419995.000,693,2,EA,1,100,1.083666
0.000000,0.000000,1726701767.283602,420061.000,710,1,EA,1,100,1.083835
0.000000,0.000000,1726701767.350603,420128.000,727,2,EA,1,100,1.083835
0.000000,0.000000,1726701767.417604,420195.000,727,2,EA,1,100,1.083666
0.000000,0.000000,1726701767.483605,420261.000,744,1,EA,1,100,1.083326
0.000000,0.000000,1726701767.550606,420328.000,758,2,EA,1,100,1.083326
0.000000,0.000000,1726701767.617607,420395.000,758,2,EA,1,100,1.083156
0.000000,0.000000,1726701767.684608,420462.000,781,1,EA,1,100,1.083666
0.000000,0.000000,1726701767.751109,420528.500,797,2,EA,1,100,1.083326
0.000000,0.000000,1726701767.817610,420595.000,797,2,EA,1,100,1.082987
0.000000,0.000000,1726701767.883610,420661.000,814,1,EA,1,100,1.082308
0.000000,0.000000,1726701767.950611,420728.000,830,2,EA,1,100,1.082818
0.000000,0.000000,1726701768.017612,420795.000,830,2,EA,1,100,1.082478
0.000000,0.000000,1726701768.083613,420861.000,846,1,EA,1,100,1.082818
0.000000,0.000000,1726701768.150614,420928.000,862,2,EA,1,100,1.082478
0.000000,0.000000,1726701768.217615,420995.000,862,2,EA,1,100,1.082987
0.000000,0.000000,1726701768.284116,421061.500,880,2,EA,1,100,1.082987
0.000000,0.000000,1726701768.350617,421128.000,880,2,EA,1,100,1.082987
0.000000,0.000000,1726701768.417618,421195.000,898,1,EA,1,100,1.083156
0.000000,0.000000,1726701768.484119,421261.500,913,2,EA,1,100,1.084516
0.000000,0.000000,1726701768.550620,421328.000,913,2,EA,1,100,1.084855
0.000000,0.000000,1726701768.617621,421395.000,929,1,EA,1,100,1.085026
0.000000,0.000000,1726701768.684122,421461.500,947,2,EA,1,100,1.086731
0.000000,0.000000,1726701768.750623,421528.000,947,2,EA,1,100,1.088785
0.000000,0.000000,1726701768.817624,421595.000,963,1,EA,1,100,1.089985
0.000000,0.000000,1726701768.884125,421661.500,980,2,EA,1,100,1.091362
0.000000,0.000000,1726701768.950626,421728.000,980,2,EA,1,100,1.091189
0.000000,0.000000,1726701769.017626,421795.000,997,1,EA,1,100,1.091705
