RD,TS_received,TS_sent,AK,RoundTrip,
420459,420478,2024-09-18_19-22-47-690309,420480,19,
425569,425583,2024-09-18_19-22-52-797878,425584,14,
430678,430757,2024-09-18_19-22-57-967263,430758,79,
435784,435837,2024-09-18_19-23-03-015309,435840,53,
440893,440906,2024-09-18_19-23-08-122396,440908,13,
446022,446043,2024-09-18_19-23-13-251088,446049,21,
451135,451154,2024-09-18_19-23-18-367678,451155,19,
456262,456281,2024-09-18_19-23-23-494809,456282,19,
461369,461386,2024-09-18_19-23-28-597827,461387,17,
466477,466498,2024-09-18_19-23-33-708563,466500,21,
471585,471606,2024-09-18_19-23-38-822081,471608,21,
476717,481833,2024-09-18_19-23-44-077085,481836,5116,
481839,481851,2024-09-18_19-23-49-066576,481852,12,
486944,486969,2024-09-18_19-23-54-180160,486970,25,
492079,492092,2024-09-18_19-23-59-306319,492096,13,
497191,497203,2024-09-18_19-24-04-420690,497204,12,
502298,502316,2024-09-18_19-24-09-528656,502317,18,
507430,507450,2024-09-18_19-24-14-660982,507451,20,
512536,512556,2024-09-18_19-24-19-769428,512557,20,
517643,517657,2024-09-18_19-24-24-873776,517662,14,
522766,
527881,
780741,
