LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
0.000000,0.000000,1726713969.146728,261129.000,40585,1,B%,1,100,39
0.000000,0.000000,1726713974.146781,266129.000,41400,1,B%,1,100,39
0.000000,0.000000,1726713979.145834,271128.000,42215,1,B%,1,100,40
0.000000,0.000000,1726713984.145887,276128.000,43034,1,B%,1,100,39
0.000000,0.000000,1726713989.144940,281127.000,43853,1,B%,1,100,40
0.000000,0.000000,1726713994.144993,286127.000,44671,1,B%,1,100,39
0.000000,0.000000,1726713999.144046,291126.000,45473,1,B%,1,100,39
0.000000,0.000000,1726714004.144099,296126.000,46273,1,B%,1,100,39
0.000000,0.000000,1726714009.143152,301125.000,47094,1,B%,1,100,39
0.000000,0.000000,1726714014.143205,306125.000,47911,1,B%,1,100,39
0.000000,0.000000,1726714019.142258,311124.000,48735,1,B%,1,100,38
0.000000,0.000000,1726714024.142311,316124.000,49555,1,B%,1,100,39
0.000000,0.000000,1726714029.141364,321123.000,50361,1,B%,1,100,39
0.000000,0.000000,1726714034.141417,326123.000,51182,1,B%,1,100,39
0.000000,0.000000,1726714039.140470,331122.000,51991,1,B%,1,100,39
0.000000,0.000000,1726714044.140523,336122.000,52809,1,B%,1,100,39
0.000000,0.000000,1726714049.139576,341121.000,53634,1,B%,1,100,39
0.000000,0.000000,1726714054.139629,346121.000,54456,1,B%,1,100,39
0.000000,0.000000,1726714059.138682,351120.000,55261,1,B%,1,100,38
0.000000,0.000000,1726714064.138735,356120.000,56088,1,B%,1,100,39
0.000000,0.000000,1726714069.137788,361119.000,56913,1,B%,1,100,38
0.000000,0.000000,1726714074.137841,366119.000,57722,1,B%,1,100,38
0.000000,0.000000,1726714079.136894,371118.000,58550,1,B%,1,100,38
0.000000,0.000000,1726714084.136947,376118.000,59375,1,B%,1,100,39
0.000000,0.000000,1726714089.136000,381117.000,60200,1,B%,1,100,38
0.000000,0.000000,1726714094.136054,386117.000,61011,1,B%,1,100,39
0.000000,0.000000,1726714099.135107,391116.000,61841,1,B%,1,100,38
0.000000,0.000000,1726714104.135160,396116.000,62648,1,B%,1,100,38
0.000000,0.000000,1726714109.134213,401115.000,63479,1,B%,1,100,39
0.000000,0.000000,1726714114.134266,406115.000,64306,1,B%,1,100,39
0.000000,0.000000,1726714119.133319,411114.000,65133,1,B%,1,100,38
0.000000,0.000000,1726714124.133372,416114.000,421,1,B%,1,100,38
0.000000,0.000000,1726714129.132425,421113.000,1252,1,B%,1,100,39
0.000000,0.000000,1726714134.132478,426113.000,2077,1,B%,1,100,39
0.000000,0.000000,1726714139.131531,431112.000,2905,1,B%,1,100,38
0.000000,0.000000,1726714144.131584,436112.000,3732,1,B%,1,100,38
0.000000,0.000000,1726714149.130637,441111.000,4576,1,B%,1,100,39
0.000000,0.000000,1726714154.130690,446111.000,5405,1,B%,1,100,37
0.000000,0.000000,1726714159.129743,451110.000,6227,1,B%,1,100,38
0.000000,0.000000,1726714164.129796,456110.000,7055,1,B%,1,100,38
0.000000,0.000000,1726714169.128849,461109.000,7901,1,B%,1,100,38
0.000000,0.000000,1726714174.128902,466109.000,8710,1,B%,1,100,38
0.000000,0.000000,1726714179.127955,471108.000,9556,1,B%,1,100,38
0.000000,0.000000,1726714184.128008,476108.000,10383,1,B%,1,100,37
0.000000,0.000000,1726714189.127061,481107.000,11207,1,B%,1,100,38
0.000000,0.000000,1726714194.127114,486107.000,12030,1,B%,1,100,38
0.000000,0.000000,1726714199.126167,491106.000,12858,1,B%,1,100,38
0.000000,0.000000,1726714204.126220,496106.000,13704,1,B%,1,100,39
0.000000,0.000000,1726714209.125273,501105.000,14533,1,B%,1,100,38
0.000000,0.000000,1726714214.125326,506105.000,15361,1,B%,1,100,38
0.000000,0.000000,1726714219.124379,511104.000,16190,1,B%,1,100,38
0.000000,0.000000,1726714224.124432,516104.000,17015,1,B%,1,100,38
0.000000,0.000000,1726714229.123485,521103.000,17855,1,B%,1,100,37
0.000000,0.000000,1726714234.123538,526103.000,18682,1,B%,1,100,38
0.000000,0.000000,1726714239.122591,531102.000,19514,1,B%,1,100,37
0.000000,0.000000,1726714244.122644,536102.000,20336,1,B%,1,100,38
0.000000,0.000000,1726714249.121697,541101.000,21163,1,B%,1,100,38
0.000000,0.000000,1726714254.121750,546101.000,21986,1,B%,1,100,37
0.000000,0.000000,1726714259.120803,551100.000,22801,1,B%,1,100,38
0.000000,0.000000,1726714264.120856,556100.000,23643,1,B%,1,100,37
0.000000,0.000000,1726714269.119909,561099.000,24470,1,B%,1,100,37
