LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
0.000000,0.000000,1726713967.088707,259071.000,40233,3,PI,1,100,161293
0.000000,0.000000,1726713967.088707,259071.000,40233,3,PI,1,100,161258
0.000000,0.000000,1726713967.088707,259071.000,40233,3,PI,1,100,161295
0.000000,0.000000,1726713967.128707,259111.000,40251,3,PI,1,100,161369
0.000000,0.000000,1726713967.168707,259151.000,40251,3,PI,1,100,161474
0.000000,0.000000,1726713967.208708,259191.000,40251,3,PI,1,100,161572
0.000000,0.000000,1726713967.248708,259231.000,40267,2,PI,1,100,161622
0.000000,0.000000,1726713967.288709,259271.000,40267,2,PI,1,100,161684
0.000000,0.000000,1726713967.328709,259311.000,40283,3,PI,1,100,161726
0.000000,0.000000,1726713967.368710,259351.000,40283,3,PI,1,100,161769
0.000000,0.000000,1726713967.408710,259391.000,40283,3,PI,1,100,161820
0.000000,0.000000,1726713967.448710,259431.000,40299,2,PI,1,100,161773
0.000000,0.000000,1726713967.488711,259471.000,40299,2,PI,1,100,161491
0.000000,0.000000,1726713967.528711,259511.000,40316,3,PI,1,100,161222
0.000000,0.000000,1726713967.568712,259551.000,40316,3,PI,1,100,161174
0.000000,0.000000,1726713967.608712,259591.000,40316,3,PI,1,100,161257
0.000000,0.000000,1726713967.648713,259631.000,40332,2,PI,1,100,161381
0.000000,0.000000,1726713967.688713,259671.000,40332,2,PI,1,100,161507
0.000000,0.000000,1726713967.728713,259711.000,40351,3,PI,1,100,161581
0.000000,0.000000,1726713967.768714,259751.000,40351,3,PI,1,100,161579
0.000000,0.000000,1726713967.808714,259791.000,40351,3,PI,1,100,161512
0.000000,0.000000,1726713967.848715,259831.000,40366,2,PI,1,100,161474
0.000000,0.000000,1726713967.888715,259871.000,40366,2,PI,1,100,161522
0.000000,0.000000,1726713967.928715,259911.000,40383,3,PI,1,100,161598
0.000000,0.000000,1726713967.968716,259951.000,40383,3,PI,1,100,161708
0.000000,0.000000,1726713968.008716,259991.000,40383,3,PI,1,100,161785
0.000000,0.000000,1726713968.048717,260031.000,40399,2,PI,1,100,161859
0.000000,0.000000,1726713968.088717,260071.000,40399,2,PI,1,100,161917
0.000000,0.000000,1726713968.128718,260111.000,40417,3,PI,1,100,161977
0.000000,0.000000,1726713968.168718,260151.000,40417,3,PI,1,100,162016
0.000000,0.000000,1726713968.208718,260191.000,40417,3,PI,1,100,162083
0.000000,0.000000,1726713968.248719,260231.000,40431,3,PI,1,100,162045
0.000000,0.000000,1726713968.288719,260271.000,40431,3,PI,1,100,161788
0.000000,0.000000,1726713968.328720,260311.000,40431,3,PI,1,100,161545
0.000000,0.000000,1726713968.368720,260351.000,40448,2,PI,1,100,161505
0.000000,0.000000,1726713968.408721,260391.000,40448,2,PI,1,100,161571
0.000000,0.000000,1726713968.448721,260431.000,40465,3,PI,1,100,161685
0.000000,0.000000,1726713968.488721,260471.000,40465,3,PI,1,100,161803
0.000000,0.000000,1726713968.528722,260511.000,40465,3,PI,1,100,161877
0.000000,0.000000,1726713968.568722,260551.000,40484,2,PI,1,100,161854
0.000000,0.000000,1726713968.608723,260591.000,40484,2,PI,1,100,161804
0.000000,0.000000,1726713968.648723,260631.000,40498,3,PI,1,100,161786
0.000000,0.000000,1726713968.688724,260671.000,40498,3,PI,1,100,161820
0.000000,0.000000,1726713968.728724,260711.000,40498,3,PI,1,100,161883
0.000000,0.000000,1726713968.768724,260751.000,40515,2,PI,1,100,161970
0.000000,0.000000,1726713968.808725,260791.000,40515,2,PI,1,100,162038
0.000000,0.000000,1726713968.848725,260831.000,40532,3,PI,1,100,162106
0.000000,0.000000,1726713968.888726,260871.000,40532,3,PI,1,100,162139
0.000000,0.000000,1726713968.928726,260911.000,40532,3,PI,1,100,162199
0.000000,0.000000,1726713968.968727,260951.000,40549,2,PI,1,100,162242
